x, y, z, ry, ry, rz, w
1.21676,0.836673,-0.00265598,1,0,0,0
1.21676,0.836673,-0.00265598,1,0,0,0
1.21927,0.832452,-6.40602e-05,1,0,0,0
1.21968,0.830545,0.000625406,1,0,0,0
1.2196,0.830222,0.00143419,1,0,0,0
1.21948,0.830672,0.00199592,1,0,0,0
1.2307,0.832536,0.00161127,1,0,0,0
1.23343,0.833046,0.00143498,1,0,0,0
1.23035,0.835119,-0.000766363,1,0,0,0
1.23035,0.836656,-0.000252467,1,0,0,0
1.22492,0.835735,-0.00336019,1,0,0,0
1.20658,0.833767,-0.00990371,1,0,0,0
1.19723,0.837432,-0.0130071,1,0,0,0
1.19143,0.838765,-0.0252278,1,0,0,0
1.19088,0.84136,-0.0380492,1,0,0,0
1.18981,0.843148,-0.043991,1,0,0,0
1.20745,0.830427,-0.0378611,1,0,0,0
1.21643,0.823821,-0.0333401,1,0,0,0
1.2422,0.799955,-0.030156,1,0,0,0
1.24541,0.796422,-0.0264137,1,0,0,0
1.24519,0.796282,-0.0234747,1,0,0,0
1.24505,0.795754,-0.0218151,1,0,0,0
1.24254,0.807551,-0.0283308,1,0,0,0
1.23984,0.812477,-0.0302211,1,0,0,0
1.22196,0.838323,-0.0385721,1,0,0,0
1.23909,0.82138,-0.0375733,1,0,0,0
1.23025,0.825159,-0.0304304,1,0,0,0
1.23032,0.824844,-0.0269331,1,0,0,0
1.22796,0.831244,-0.0303365,1,0,0,0
1.22612,0.836969,-0.0344471,1,0,0,0
1.2156,0.834853,-0.0329391,1,0,0,0
1.21493,0.835911,-0.0328728,1,0,0,0
1.20809,0.837161,-0.0311139,1,0,0,0
1.20191,0.839626,-0.0301654,1,0,0,0
1.19934,0.840548,-0.0294651,1,0,0,0
1.19877,0.839738,-0.0297507,1,0,0,0
1.19951,0.839376,-0.030104,1,0,0,0
1.2016,0.838564,-0.0307938,1,0,0,0
1.20164,0.838553,-0.0307989,1,0,0,0
1.20394,0.837833,-0.0311758,1,0,0,0
1.1941,0.85343,-0.0349025,1,0,0,0
1.19458,0.853202,-0.0350653,1,0,0,0
1.21082,0.847413,-0.0382322,1,0,0,0
1.22242,0.843473,-0.0447289,1,0,0,0
1.22279,0.847549,-0.0343395,1,0,0,0
1.22637,0.853528,-0.038558,1,0,0,0
1.22699,0.85522,-0.0416879,1,0,0,0
1.22362,0.851383,-0.0560681,1,0,0,0
1.20788,0.847263,-0.0700806,1,0,0,0
1.20372,0.846353,-0.0743131,1,0,0,0
1.20502,0.843811,-0.0781036,1,0,0,0
1.20614,0.843907,-0.0753273,1,0,0,0
1.20873,0.843453,-0.0728995,1,0,0,0
1.21046,0.842646,-0.0727238,1,0,0,0
1.21016,0.841824,-0.0723342,1,0,0,0
1.21033,0.84105,-0.0714268,1,0,0,0
1.21029,0.840751,-0.0704892,1,0,0,0
1.21028,0.84061,-0.0700429,1,0,0,0
1.21043,0.840384,-0.0693334,1,0,0,0
1.21054,0.840581,-0.068787,1,0,0,0
1.1987,0.850069,-0.0604828,1,0,0,0
1.21547,0.844951,-0.0609226,1,0,0,0
1.2233,0.842113,-0.0613489,1,0,0,0
1.2197,0.846149,-0.0582535,1,0,0,0
1.21624,0.856219,-0.0619802,1,0,0,0
1.21295,0.858772,-0.0634419,1,0,0,0
1.2127,0.859851,-0.0646696,1,0,0,0
1.21232,0.859021,-0.0640877,1,0,0,0
1.21371,0.85737,-0.0626525,1,0,0,0
1.214,0.856671,-0.0620054,1,0,0,0
1.2159,0.863473,-0.0693261,1,0,0,0
1.21825,0.861057,-0.0702135,1,0,0,0
1.22389,0.854446,-0.063968,1,0,0,0
1.22503,0.853566,-0.0638409,1,0,0,0
1.22676,0.849888,-0.0620652,1,0,0,0
1.22676,0.849359,-0.0619397,1,0,0,0
1.22169,0.849601,-0.0549125,1,0,0,0
1.2217,0.849635,-0.0549874,1,0,0,0
1.22684,0.839365,-0.0491453,1,0,0,0
1.21258,0.849359,-0.0390453,1,0,0,0
1.21145,0.849386,-0.0421266,1,0,0,0
1.21154,0.849242,-0.043727,1,0,0,0
1.21082,0.848733,-0.0451254,1,0,0,0
1.21095,0.848491,-0.0450134,1,0,0,0
1.20915,0.850375,-0.0452863,1,0,0,0
1.20732,0.851134,-0.0451421,1,0,0,0
1.20016,0.853892,-0.0476023,1,0,0,0
1.19474,0.856142,-0.0498292,1,0,0,0
1.19383,0.856677,-0.0491052,1,0,0,0
1.1926,0.856423,-0.0502125,1,0,0,0
1.49974,0.757947,-0.123218,1,0,0,0
1.49733,0.758183,-0.121931,1,0,0,0
1.50253,0.679226,-0.111435,1,0,0,0
1.49452,0.671668,-0.10754,1,0,0,0
1.49207,0.67352,-0.10423,1,0,0,0
1.49065,0.674721,-0.10441,1,0,0,0
1.49164,0.679989,-0.103731,1,0,0,0
1.48941,0.681179,-0.103917,1,0,0,0
1.48831,0.68347,-0.102432,1,0,0,0
1.48742,0.686312,-0.100991,1,0,0,0
1.48717,0.688365,-0.100017,1,0,0,0
1.48716,0.691043,-0.0983974,1,0,0,0
1.48714,0.691845,-0.0978756,1,0,0,0
1.48753,0.693496,-0.0967227,1,0,0,0
1.48762,0.698057,-0.0968515,1,0,0,0
1.4879,0.698833,-0.0969866,1,0,0,0
1.48819,0.699646,-0.0972265,1,0,0,0
1.48827,0.699819,-0.0972782,1,0,0,0
1.48845,0.700175,-0.0973062,1,0,0,0
1.48844,0.700151,-0.097309,1,0,0,0
1.48846,0.700077,-0.0966859,1,0,0,0
1.48831,0.69968,-0.0962688,1,0,0,0
1.48797,0.699394,-0.0960769,1,0,0,0
1.48788,0.69923,-0.0961533,1,0,0,0
1.48775,0.698951,-0.0959083,1,0,0,0
1.4877,0.698878,-0.0958756,1,0,0,0
1.48755,0.698444,-0.0955568,1,0,0,0
1.48751,0.698306,-0.0953972,1,0,0,0
1.48741,0.698104,-0.0951943,1,0,0,0
1.48737,0.69808,-0.0951805,1,0,0,0
1.48713,0.698176,-0.0952892,1,0,0,0
1.48714,0.698039,-0.0952848,1,0,0,0
1.48724,0.697981,-0.095183,1,0,0,0
1.48726,0.697931,-0.0951039,1,0,0,0
1.48718,0.697849,-0.0949917,1,0,0,0
1.48705,0.697808,-0.0947695,1,0,0,0
1.48698,0.697704,-0.0946363,1,0,0,0
1.48691,0.697651,-0.0945072,1,0,0,0
1.48681,0.69768,-0.0943576,1,0,0,0
1.48681,0.697682,-0.0943608,1,0,0,0
1.48677,0.697651,-0.0942495,1,0,0,0
1.48669,0.697574,-0.0940125,1,0,0,0
