x, y, z, ry, ry, rz, w
0.230332,-0.378789,0.43062,0.994435,0.0962226,-0.0424015,0.00651171
0.230332,-0.378789,0.43062,0.994435,0.0962226,-0.0424015,0.00651171
0.230332,-0.378788,0.430618,0.994435,0.0962238,-0.0424065,0.00651265
0.230331,-0.37879,0.430623,0.994435,0.096223,-0.0424004,0.00651607
0.230331,-0.378788,0.430618,0.994435,0.0962243,-0.0424044,0.00651125
0.230329,-0.37879,0.430619,0.994436,0.0962168,-0.0423989,0.0065113
0.230331,-0.378789,0.43062,0.994435,0.0962214,-0.0424028,0.00651346
0.230331,-0.378789,0.430621,0.994435,0.096221,-0.0424019,0.00651522
0.230331,-0.37879,0.430621,0.994435,0.0962187,-0.042399,0.00651376
0.23033,-0.37879,0.430622,0.994435,0.0962202,-0.0423977,0.00651457
0.230332,-0.378789,0.430624,0.994435,0.0962241,-0.042399,0.00651823
0.230333,-0.378789,0.430621,0.994435,0.0962226,-0.0423991,0.00651473
0.230332,-0.378791,0.430627,0.994435,0.0962211,-0.0423943,0.00652201
0.230331,-0.378791,0.430627,0.994435,0.0962206,-0.0423935,0.00651974
0.230333,-0.378791,0.430628,0.994435,0.0962225,-0.0423931,0.00652261
0.230333,-0.378792,0.43063,0.994436,0.0962191,-0.0423881,0.00652413
0.23033,-0.378793,0.430627,0.994436,0.0962188,-0.042393,0.00652175
0.230336,-0.37879,0.430628,0.994435,0.0962229,-0.0423907,0.0065224
0.230333,-0.378793,0.43063,0.994436,0.0962192,-0.0423884,0.00652298
0.230333,-0.378794,0.430631,0.994436,0.0962178,-0.0423884,0.00652577
0.230333,-0.378794,0.43063,0.994435,0.0962218,-0.0423911,0.00652648
0.230333,-0.378793,0.430631,0.994436,0.0962197,-0.0423878,0.00652452
0.230334,-0.378794,0.430634,0.994436,0.0962181,-0.0423853,0.00652883
0.230333,-0.378795,0.430635,0.994436,0.0962188,-0.0423813,0.0065287
0.230335,-0.378796,0.430637,0.994436,0.0962229,-0.042383,0.00653395
0.230333,-0.378797,0.430638,0.994436,0.0962201,-0.0423818,0.00653425
0.230335,-0.378797,0.430638,0.994436,0.0962191,-0.0423785,0.00653244
0.230334,-0.378796,0.430638,0.994436,0.0962204,-0.0423791,0.00653536
0.230335,-0.378797,0.430642,0.994436,0.0962207,-0.0423725,0.00653755
0.230334,-0.378797,0.43064,0.994436,0.0962191,-0.0423732,0.00653477
0.230333,-0.378798,0.43064,0.994436,0.0962179,-0.0423768,0.00653676
0.230336,-0.378799,0.430642,0.994436,0.0962183,-0.0423739,0.00654213
0.230335,-0.378799,0.430644,0.994436,0.0962199,-0.0423697,0.00654215
0.230337,-0.378799,0.430647,0.994436,0.0962209,-0.0423677,0.00654568
0.230345,-0.37881,0.430648,0.994437,0.0962175,-0.042347,0.00656706
0.23038,-0.378841,0.430675,0.99444,0.0962215,-0.0422727,0.00665243
0.230384,-0.378843,0.430673,0.994439,0.0962249,-0.0422677,0.00666031
0.230391,-0.378852,0.430679,0.994441,0.0962221,-0.042245,0.00668121
0.230392,-0.378854,0.43068,0.99444,0.0962251,-0.042239,0.00668805
0.230396,-0.378854,0.430685,0.994441,0.0962261,-0.0422337,0.00669403
0.230399,-0.37886,0.43069,0.994441,0.096225,-0.0422184,0.00670878
0.230401,-0.378862,0.430693,0.994442,0.0962235,-0.0422093,0.00671499
0.230403,-0.378864,0.430694,0.994442,0.0962253,-0.0422036,0.00672041
0.230405,-0.378867,0.4307,0.994442,0.0962238,-0.0421912,0.00673188
0.230408,-0.378869,0.430706,0.994442,0.0962258,-0.0421823,0.00673857
0.230407,-0.378869,0.430706,0.994443,0.0962245,-0.0421774,0.00674012
0.23041,-0.378873,0.430713,0.994443,0.0962257,-0.0421635,0.00675335
0.230411,-0.378874,0.430716,0.994443,0.0962274,-0.0421597,0.00675858
0.230412,-0.378873,0.430715,0.994443,0.0962262,-0.0421572,0.00675724
0.230414,-0.378874,0.430716,0.994443,0.0962323,-0.0421551,0.00676433
0.230413,-0.378879,0.43072,0.994444,0.0962246,-0.0421482,0.00677128
0.230413,-0.378882,0.430724,0.994444,0.096224,-0.0421427,0.00677555
0.230418,-0.378877,0.430725,0.994444,0.0962291,-0.0421391,0.00677448
0.230417,-0.378883,0.43073,0.994444,0.0962269,-0.0421334,0.00678393
0.230417,-0.378881,0.430728,0.994444,0.0962252,-0.0421317,0.00678329
0.230416,-0.378882,0.430731,0.994444,0.0962275,-0.042127,0.00678397
0.23042,-0.378882,0.430737,0.994444,0.09623,-0.0421185,0.00679458
0.230416,-0.378883,0.430738,0.994445,0.0962259,-0.0421154,0.006793
0.230418,-0.378882,0.430743,0.994446,0.0962242,-0.0421047,0.00679647
0.230405,-0.378873,0.430793,0.994448,0.0962318,-0.0420347,0.00682524
0.230385,-0.378877,0.430848,0.994451,0.0962218,-0.0419611,0.00685891
0.230369,-0.378868,0.430897,0.994454,0.0962224,-0.0418887,0.00688471
0.230349,-0.378861,0.430979,0.994459,0.0962225,-0.0417738,0.00692979
0.230307,-0.378852,0.431124,0.994467,0.0962152,-0.0415738,0.0070153
