x, y, z, ry, ry, rz, w
0.931022,0.271443,0.313657,-0.440447,0.155202,0.208289,-0.85938
0.931022,0.271443,0.313657,-0.440447,0.155202,0.208289,-0.85938
0.931009,0.271363,0.313645,-0.440447,0.155202,0.208289,-0.85938
0.931236,0.273387,0.314571,-0.440447,0.155202,0.208289,-0.85938
0.931339,0.274322,0.315002,-0.440447,0.155202,0.208289,-0.85938
0.931129,0.275965,0.315806,-0.440447,0.155202,0.208289,-0.85938
0.931138,0.275949,0.315822,-0.440447,0.155202,0.208289,-0.85938
0.931552,0.276179,0.316139,-0.440447,0.155202,0.208289,-0.85938
0.931596,0.276176,0.316178,-0.440447,0.155202,0.208289,-0.85938
0.931661,0.277314,0.316284,-0.440447,0.155202,0.208289,-0.85938
0.905358,0.299077,0.306361,-0.331576,0.12851,0.257832,-0.898368
0.901833,0.301571,0.307006,-0.3931,0.160227,0.274083,-0.862947
0.898872,0.30344,0.306656,-0.487451,0.188885,0.273584,-0.807382
0.886953,0.308155,0.307716,0.729645,-0.27457,-0.173193,0.601859
0.871648,0.317191,0.315256,0.853515,-0.31431,-0.101349,0.40305
0.866242,0.319894,0.317636,0.893345,-0.30783,-0.0875187,0.315462
0.856749,0.317955,0.319484,0.916718,-0.304033,-0.0727057,0.248809
0.83608,0.324203,0.337126,0.945371,-0.281569,-0.0506498,0.156292
0.826444,0.324939,0.34737,0.951631,-0.274166,-0.0412792,0.13239
0.808745,0.322555,0.358895,0.960281,-0.25723,-0.0158202,0.106972
0.794446,0.333957,0.364483,0.963483,-0.248762,-0.0047986,0.098969
0.786724,0.341669,0.372842,0.966781,-0.239037,0.00288508,0.0904858
0.777131,0.344421,0.379257,0.972481,-0.221112,0.0158804,0.0716875
0.762639,0.343363,0.385789,0.97732,-0.200911,0.0230218,0.062845
0.752243,0.340582,0.38722,0.978549,-0.194528,0.0236812,0.063558
0.740946,0.337412,0.390875,0.979723,-0.188545,0.0238125,0.0634529
0.725933,0.331464,0.391146,0.982608,-0.172043,0.0243234,0.065509
0.722238,0.329218,0.390518,0.984019,-0.163481,0.0242751,0.0662743
0.722238,0.329218,0.390518,0.984019,-0.163481,0.0242751,0.0662743
0.698515,0.315907,0.39315,0.988129,-0.138273,0.0214992,0.0633951
0.691216,0.312207,0.390455,0.988993,-0.130847,0.0202739,0.0660411
0.678047,0.301628,0.394202,0.989684,-0.123459,0.0068348,0.0723681
0.679161,0.301487,0.393296,0.989733,-0.119574,0.0026942,0.0782541
0.677028,0.29995,0.385581,0.988852,-0.122499,0.00448547,0.0845273
0.678677,0.299768,0.385069,0.988432,-0.123819,0.00490342,0.0874436
0.676563,0.298692,0.382488,0.987682,-0.123723,0.00685469,0.0955508
0.677404,0.299503,0.38248,0.985435,-0.130948,0.0114452,0.107887
0.678029,0.29986,0.382525,0.985435,-0.130948,0.0114452,0.107887
0.677355,0.299101,0.383205,0.984781,-0.130922,0.0112443,0.113748
0.670491,0.299027,0.387944,0.985205,-0.134865,0.0219107,0.103453
0.669489,0.303499,0.385568,0.9864,-0.134657,0.0202654,0.0920403
0.670623,0.301299,0.382967,0.9864,-0.134657,0.0202654,0.0920403
0.663255,0.288355,0.389092,0.988179,-0.128653,0.00675554,0.0830956
0.662461,0.286748,0.389941,0.988179,-0.128653,0.00675554,0.0830956
0.66136,0.281282,0.393113,0.989519,-0.118144,-0.00333218,0.0829667
0.660827,0.278969,0.39428,0.989475,-0.115746,-0.00878086,0.0864021
0.660517,0.281883,0.400296,0.989461,-0.115029,-0.0119857,0.0871267
0.660686,0.286447,0.399491,0.989787,-0.114587,-0.014062,0.0836246
0.663818,0.286745,0.39962,0.989794,-0.12259,-0.0137226,0.0713482
0.664216,0.287291,0.399856,0.989546,-0.129373,-0.0126444,0.062466
0.665127,0.28747,0.399833,0.988835,-0.131727,-0.01446,0.0681498
0.665264,0.287301,0.399735,0.988835,-0.131727,-0.01446,0.0681498
0.66596,0.276357,0.401544,0.988113,-0.138997,-0.0109421,0.0647494
0.668143,0.286565,0.402148,0.98697,-0.145525,-0.0034494,0.0685579
0.66903,0.28891,0.402146,0.985934,-0.146324,0.00518058,0.0806024
0.669278,0.288956,0.401734,0.985934,-0.146324,0.00518057,0.0806025
0.669235,0.287903,0.40287,0.98438,-0.139545,0.00360619,0.107282
0.669458,0.286926,0.402953,0.983575,-0.139517,0.00848117,0.114208
0.670256,0.288902,0.401059,0.9799,-0.150041,0.0189234,0.130096
0.671317,0.296928,0.397552,0.98068,-0.151173,0.0133499,0.12343
0.672772,0.295976,0.395173,0.982731,-0.156959,0.00829821,0.0976483
0.672397,0.294722,0.393991,0.983337,-0.162484,0.0101156,0.0808973
0.672107,0.292897,0.392125,0.984289,-0.161137,0.0100991,0.0714771
0.671395,0.292329,0.391022,0.982547,-0.158005,0.0101841,0.0976365
0.672286,0.291772,0.391187,0.982547,-0.158005,0.0101841,0.0976365
0.673091,0.292006,0.390504,0.981383,-0.16336,0.00850367,0.100646
0.673307,0.292146,0.389958,0.980231,-0.171958,0.00728873,0.0975944
0.673937,0.294023,0.388474,0.980231,-0.171958,0.00728873,0.0975944
0.672449,0.292849,0.387598,0.981493,-0.161067,0.000146634,0.103582
0.670552,0.299732,0.38826,0.981602,-0.162204,0.000548677,0.100733
0.669665,0.301378,0.38895,0.981602,-0.162204,0.000548677,0.100733
0.669185,0.303464,0.386939,0.980449,-0.160703,0.00313545,0.113513
0.668459,0.304406,0.388002,0.980403,-0.160324,0.000520984,0.114481
0.668318,0.305015,0.388862,0.981792,-0.166754,-0.00990287,0.0904429
0.668852,0.308036,0.387371,0.981289,-0.171278,-0.00970592,0.0874167
0.668425,0.30871,0.38819,0.98092,-0.177307,-0.00928126,0.0791936
0.668489,0.309561,0.38763,0.980526,-0.177735,-0.00534956,0.0833705
