x, y, z, ry, ry, rz, w
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.860778,0.249384,0.366295,0.922091,0.382477,0.0556164,0.0191292
0.861462,0.249111,0.368098,0.922127,0.382859,0.0533225,0.0160259
0.462379,-0.0509995,0.434772,0.921809,0.383449,0.055497,0.0124386
0.462601,-0.0501347,0.434706,0.923421,0.379443,0.0571633,0.00695499
0.457871,-0.0506076,0.437476,0.925233,0.376148,0.0489435,-0.00777741
0.455383,-0.050657,0.439132,0.926083,0.374738,0.0424803,-0.0117584
0.45167,-0.0518207,0.440969,0.925844,0.375388,0.0423307,-0.0102862
0.450111,-0.0518124,0.441893,0.923999,0.379002,0.0503491,-0.00700385
0.44804,-0.0511759,0.441976,0.92268,0.380341,0.0632414,0.0019091
0.447319,-0.050794,0.441749,0.921482,0.381862,0.0710482,0.00231597
0.447124,-0.0503405,0.442084,0.921018,0.382969,0.0710331,0.00382391
0.44777,-0.0488331,0.44299,0.920422,0.384197,0.0719306,0.00645153
0.44777,-0.0488331,0.44299,0.920422,0.384197,0.0719306,0.00645153
0.449643,-0.0450337,0.446478,0.916844,0.391675,0.0747138,0.0201485
0.455263,-0.0344966,0.454938,0.913697,0.393713,0.0896201,0.0459979
0.456543,-0.0312252,0.456905,0.913697,0.393714,0.0896199,0.0459978
0.458873,-0.025814,0.459394,0.914602,0.391559,0.0904287,0.0448121
0.46074,-0.0132774,0.467001,0.914887,0.390966,0.0907767,0.0434335
0.461551,-0.00983237,0.468002,0.914111,0.391962,0.0916575,0.0486503
0.463032,-0.00448533,0.469601,0.914073,0.392051,0.0921264,0.0477402
0.464418,-2.12387e-05,0.471093,0.912852,0.395163,0.0916484,0.0463566
0.475131,0.00566255,0.466629,0.91191,0.397109,0.0916455,0.0482255
0.47713,0.0135647,0.468436,0.908473,0.401989,0.0982518,0.0585524
0.488682,0.024639,0.464803,0.908216,0.402862,0.0979079,0.0571005
0.493491,0.0323664,0.4647,0.911582,0.399867,0.0869367,0.0395764
0.497559,0.035836,0.459957,0.911582,0.399867,0.0869367,0.0395764
0.499273,0.0460981,0.458983,0.912125,0.399356,0.0849649,0.0363946
0.500801,0.0505277,0.459503,0.90999,0.405468,0.0799391,0.0335396
0.502213,0.0510894,0.459833,0.90999,0.405468,0.0799391,0.0335396
0.50304,0.056383,0.460425,0.90856,0.408393,0.0816436,0.0326963
0.501957,0.0643037,0.461913,0.897628,0.4273,0.102201,0.0351167
0.501307,0.0649744,0.461966,0.897628,0.4273,0.102201,0.0351167
0.50059,0.0668789,0.463231,0.893778,0.434294,0.103746,0.0422793
0.500631,0.0691186,0.463994,0.888605,0.440689,0.115264,0.0537437
0.500874,0.0693978,0.463921,0.888828,0.439189,0.119485,0.0531123
0.499071,0.0698116,0.463972,0.887994,0.441565,0.119179,0.0477796
0.499295,0.0701567,0.465651,0.887059,0.444679,0.117172,0.0407128
0.497096,0.0686629,0.466151,0.886191,0.446733,0.11665,0.0385835
0.496194,0.0658213,0.466067,0.884743,0.450522,0.113972,0.0356358
0.495952,0.0644239,0.467273,0.883686,0.453969,0.108476,0.0352794
0.496762,0.0639709,0.467263,0.883732,0.453292,0.110401,0.0368075
0.499317,0.0659571,0.467196,0.884524,0.450575,0.11541,0.0357817
0.500669,0.0677749,0.467394,0.884955,0.449508,0.116882,0.0337081
0.501496,0.0690155,0.468475,0.884835,0.449736,0.11662,0.0346934
0.50295,0.0719407,0.469602,0.884091,0.452933,0.111056,0.030012
0.500848,0.074661,0.473768,0.883424,0.454277,0.111082,0.029252
0.50367,0.0804209,0.473245,0.889275,0.449715,0.082473,-0.0120595
0.505302,0.0876254,0.473244,0.89027,0.448314,0.0759056,-0.0259423
0.505084,0.0907311,0.472446,0.887148,0.454635,0.0762636,-0.0214299
0.505072,0.0906927,0.472433,0.887148,0.454635,0.0762636,-0.0214299
