x, y, z, ry, ry, rz, w
0.449748,4.78751e-05,0.450057,1,0.000133661,0.000102091,8.18506e-07
0.449748,4.78751e-05,0.450057,1,0.000133661,0.000102091,8.18506e-07
0.449747,4.97319e-05,0.450054,1,0.000134647,9.96234e-05,1.42333e-06
0.449747,4.69916e-05,0.450053,1,0.000130405,9.84781e-05,3.43726e-07
0.449748,4.72014e-05,0.450055,1,0.000130122,0.000101378,1.3526e-06
0.449748,4.39677e-05,0.450056,1,0.000128409,0.000101202,-1.37998e-06
0.449748,5.02438e-05,0.450054,1,0.000135369,9.74672e-05,7.29634e-07
0.449749,4.6764e-05,0.450056,1,0.000130097,0.000101115,1.14107e-06
0.449747,4.62446e-05,0.450053,1,0.000128535,9.74992e-05,-1.32833e-06
0.449749,4.63748e-05,0.450056,1,0.000132501,0.000102051,1.88306e-06
0.449748,4.70434e-05,0.450055,1,0.000130873,9.92895e-05,8.67292e-07
0.449748,4.74215e-05,0.45005,1,0.000131966,9.51206e-05,1.4828e-07
0.449749,4.56169e-05,0.450054,1,0.000129671,9.9834e-05,1.15657e-06
0.449749,4.71748e-05,0.450054,1,0.000131089,9.89593e-05,2.15702e-07
0.449748,4.58018e-05,0.450053,1,0.000129557,9.80469e-05,1.49289e-06
0.44975,4.37139e-05,0.450055,1,0.000128576,0.000100814,-3.95011e-08
0.449749,4.66966e-05,0.450052,1,0.00012985,9.81564e-05,1.26347e-07
0.44975,4.43306e-05,0.450054,1,0.000128778,9.99467e-05,2.57535e-06
0.44975,4.69879e-05,0.450054,1,0.0001326,0.000100595,6.41694e-07
0.449748,4.70179e-05,0.450051,1,0.000129366,9.54584e-05,9.36149e-07
0.449748,4.75475e-05,0.450052,1,0.000131689,9.76459e-05,1.04414e-07
0.449749,4.62111e-05,0.450053,1,0.000131413,9.86395e-05,1.56219e-06
0.449749,4.43599e-05,0.450051,1,0.000128091,9.65149e-05,1.21791e-06
0.449749,4.61793e-05,0.45005,1,0.000129968,9.50004e-05,5.28024e-07
0.449749,4.55848e-05,0.450054,1,0.000129909,0.000101004,2.33064e-06
0.44975,4.33797e-05,0.450055,1,0.000127302,0.000101459,1.02091e-06
0.449749,4.63462e-05,0.45005,1,0.000129595,9.55383e-05,1.70966e-06
0.449749,4.42019e-05,0.450051,1,0.000129193,9.79405e-05,1.40549e-06
0.449751,4.68623e-05,0.450052,1,0.00013179,9.8891e-05,1.28432e-06
0.449749,4.52198e-05,0.45005,1,0.000127562,9.61023e-05,-1.70191e-06
0.449749,4.44576e-05,0.450049,1,0.00012819,9.35715e-05,1.69931e-07
0.449749,4.39016e-05,0.450051,1,0.000126959,9.68646e-05,-6.45934e-07
0.44975,4.29918e-05,0.45005,1,0.000130643,9.5827e-05,1.73854e-06
0.449749,4.23826e-05,0.450052,1,0.000126325,9.73786e-05,2.52743e-07
0.44975,4.41728e-05,0.450053,1,0.000130862,9.84951e-05,1.44328e-06
0.44975,4.46087e-05,0.450053,1,0.000129133,9.91793e-05,-4.95966e-07
0.449751,4.34877e-05,0.450052,1,0.000129603,9.79298e-05,4.27748e-07
0.44975,4.37889e-05,0.45005,1,0.000126738,9.76382e-05,-1.23477e-08
0.449751,4.4565e-05,0.450048,1,0.000130845,9.55093e-05,-2.63922e-07
0.449749,4.38456e-05,0.45005,1,0.000127904,9.68882e-05,-4.92713e-07
0.44975,4.36907e-05,0.45005,1,0.000130331,9.61272e-05,6.09844e-07
0.44975,4.36269e-05,0.450049,1,0.000127953,9.5267e-05,1.69284e-06
0.449751,4.50061e-05,0.45005,1,0.00012935,9.65041e-05,1.28637e-06
0.449752,4.35371e-05,0.450052,1,0.000127401,9.91403e-05,8.60342e-07
0.44975,4.23564e-05,0.45005,1,0.000126111,9.72244e-05,-8.70669e-07
0.449751,4.2985e-05,0.45005,1,0.000128327,9.75909e-05,-1.34477e-07
0.449751,4.19433e-05,0.450049,1,0.000126733,9.59101e-05,1.33285e-06
0.449751,4.2065e-05,0.450049,1,0.000125966,9.66878e-05,2.6082e-07
0.449751,4.3324e-05,0.45005,1,0.000129772,9.6061e-05,2.53857e-06
0.449751,4.20923e-05,0.450051,1,0.000127331,9.80043e-05,-9.43529e-08
0.449751,4.15133e-05,0.450047,1,0.000127103,9.38405e-05,1.23467e-06
0.449752,4.08344e-05,0.450049,1,0.000125592,9.61028e-05,2.09221e-07
0.449749,4.19325e-05,0.450047,1,0.000127056,9.35764e-05,6.71088e-08
0.449751,4.26542e-05,0.450052,1,0.000127716,9.70186e-05,-6.54764e-07
0.449751,4.176e-05,0.450046,1,0.000127634,9.33658e-05,2.77361e-06
0.449751,4.40749e-05,0.450046,1,0.000126135,9.33582e-05,5.39894e-09
0.449752,4.11344e-05,0.450049,1,0.000127387,9.51842e-05,1.92675e-06
0.449751,4.22503e-05,0.450047,1,0.000127031,9.3936e-05,1.69872e-06
0.449751,3.97548e-05,0.450048,1,0.000126458,9.35741e-05,1.07888e-06
0.449751,4.12415e-05,0.450049,1,0.000127058,9.52324e-05,2.31218e-06
0.449751,4.12397e-05,0.450045,1,0.000124953,9.16449e-05,4.57932e-07
0.449752,4.2522e-05,0.450047,1,0.000126176,9.48705e-05,-2.9423e-07
0.449752,4.08354e-05,0.450045,1,0.000125469,9.20699e-05,1.1335e-06
0.449752,4.29792e-05,0.450049,1,0.000127365,9.58959e-05,-6.27833e-08
0.449751,4.15901e-05,0.450046,1,0.000124256,9.12636e-05,1.39224e-07
0.449752,4.13699e-05,0.450048,1,0.000128054,9.45874e-05,3.46812e-07
0.449752,3.85912e-05,0.450045,1,0.000125027,9.29171e-05,1.86235e-07
0.449753,4.13447e-05,0.450046,1,0.000125953,9.24337e-05,-2.85299e-07
0.449753,4.02956e-05,0.450047,1,0.000127644,9.48828e-05,2.53334e-06
0.449752,4.05129e-05,0.450045,1,0.000124448,9.28098e-05,8.35203e-07
0.449752,4.28533e-05,0.450042,1,0.000127352,8.77691e-05,2.09506e-06
0.449752,3.75437e-05,0.450045,1,0.000124043,9.16638e-05,1.94228e-06
0.449752,4.14943e-05,0.450044,1,0.000128076,9.00506e-05,3.93484e-06
0.449753,4.01239e-05,0.450046,1,0.000126446,9.25879e-05,2.72737e-06
0.449752,4.34722e-05,0.450045,1,0.000126404,9.19894e-05,7.12623e-07
0.449752,4.00287e-05,0.450044,1,0.000125375,8.95869e-05,6.69142e-07
0.449752,3.89455e-05,0.450044,1,0.000124739,9.01527e-05,2.39015e-06
0.449753,4.23025e-05,0.450043,1,0.000126384,9.04895e-05,2.76714e-06
0.449753,4.19871e-05,0.450044,1,0.000127439,9.1267e-05,1.86462e-06
0.449753,4.03893e-05,0.450043,1,0.000125221,9.05486e-05,1.67597e-06
0.449752,4.10743e-05,0.450042,1,0.000127804,8.96471e-05,3.35206e-06
0.449752,4.08896e-05,0.450044,1,0.000127402,9.15168e-05,2.14423e-06
0.449754,4.08306e-05,0.450044,1,0.000124352,9.15927e-05,1.70365e-06
0.449755,4.03121e-05,0.450044,1,0.000125273,9.18719e-05,1.21463e-06
0.449754,3.89338e-05,0.450043,1,0.000122613,9.11104e-05,6.81946e-07
0.449753,3.98141e-05,0.450041,1,0.000125752,8.84038e-05,2.02282e-06
0.449754,3.9399e-05,0.450044,1,0.000125495,9.10282e-05,3.44935e-06
0.449755,3.77517e-05,0.450042,1,0.000124798,9.12368e-05,2.94537e-06
0.449754,3.94315e-05,0.450042,1,0.000124679,9.10401e-05,-6.21346e-07
0.449753,3.96734e-05,0.450039,1,0.000123723,8.61774e-05,1.31598e-07
0.449754,3.99993e-05,0.450039,1,0.00012652,8.52881e-05,2.47305e-06
0.449754,3.8362e-05,0.450042,1,0.000123474,9.02671e-05,-2.02496e-07
0.449755,3.89358e-05,0.45004,1,0.000124318,8.71674e-05,1.58708e-06
0.449755,3.63839e-05,0.450038,1,0.000121213,8.625e-05,1.73536e-06
0.449755,4.01525e-05,0.45004,1,0.000126434,8.77875e-05,2.05421e-06
0.449755,3.26434e-05,0.450041,1,0.000118876,9.01695e-05,1.73609e-06
0.449754,3.81001e-05,0.45004,1,0.000123558,8.83541e-05,2.03222e-06
0.449754,3.90532e-05,0.450037,1,0.000123243,8.42311e-05,1.20106e-06
0.449754,3.81548e-05,0.45004,1,0.00012251,8.77067e-05,1.54987e-06
0.449755,3.67096e-05,0.450037,1,0.000123915,8.42663e-05,2.48238e-06
0.449755,3.84006e-05,0.450039,1,0.000122292,8.74976e-05,8.5933e-07
0.449755,3.62484e-05,0.450038,1,0.000121614,8.68695e-05,2.31335e-06
0.449756,3.54418e-05,0.450037,1,0.000122175,8.62437e-05,2.64512e-06
0.449754,3.42586e-05,0.450038,1,0.00012067,8.48388e-05,5.5499e-07
0.449756,3.73271e-05,0.450034,1,0.000122203,8.26423e-05,2.12106e-06
0.449755,3.44859e-05,0.450036,1,0.000119477,8.41415e-05,1.92992e-06
0.449757,3.63945e-05,0.450035,1,0.000123652,8.28965e-05,2.90677e-06
0.449755,3.45739e-05,0.450033,1,0.000119535,8.07224e-05,2.13777e-06
0.449755,3.70355e-05,0.450037,1,0.000122343,8.28524e-05,2.38523e-06
0.449756,3.77294e-05,0.450037,1,0.000120395,8.54312e-05,7.4121e-07
0.449757,3.63053e-05,0.450035,1,0.000120969,8.2999e-05,2.97883e-06
0.449756,3.47608e-05,0.450036,1,0.000120045,8.44362e-05,1.19945e-06
0.449756,3.48417e-05,0.450033,1,0.000122554,8.10629e-05,2.91993e-06
0.449756,3.76252e-05,0.450033,1,0.000121876,8.00499e-05,4.87312e-07
0.449757,3.8561e-05,0.450035,1,0.000124662,8.46281e-05,9.64567e-07
