x, y, z, rx, ry, rz, w
0.490261,0.380254,0.255515,0.998739,0.0233059,-0.0426117,-0.0126959
0.490261,0.380254,0.255515,0.998739,0.0233059,-0.0426117,-0.0126959
0.480375,0.376448,0.243661,0.998694,0.023471,-0.0445055,-0.00891405
0.471518,0.372366,0.234064,0.998669,0.0235076,-0.0455671,-0.00553913
0.462307,0.367277,0.224709,0.998673,0.0233575,-0.0458487,-0.0021924
0.458177,0.364609,0.22084,0.998679,0.0232833,-0.0458051,-0.000563822
0.450515,0.358747,0.214046,0.998689,0.0231462,-0.0455749,0.00278696
0.444686,0.352851,0.209655,0.998741,0.0225,-0.0444731,0.00570098
0.439162,0.344413,0.206345,0.998843,0.020313,-0.0425058,0.00969801
0.437652,0.340539,0.205847,0.998899,0.0188634,-0.0413961,0.0114252
0.436766,0.332442,0.207359,0.999027,0.0153027,-0.0385769,0.0148925
0.437466,0.328965,0.208818,0.999094,0.0136532,-0.0369717,0.0160425
0.44014,0.322568,0.212466,0.99922,0.0106708,-0.0336453,0.0177082
0.444166,0.31583,0.216795,0.999334,0.00781922,-0.0301504,0.0189852
0.449405,0.30835,0.222064,0.99943,0.00539192,-0.0265711,0.0200954
0.455611,0.299846,0.228178,0.999519,0.00312105,-0.0226568,0.0209495
0.462898,0.290201,0.235404,0.999595,0.00103501,-0.0184174,0.0216664
0.470997,0.279785,0.243795,0.999653,-0.000692103,-0.0142899,0.0220974
0.479605,0.269152,0.25373,0.999693,-0.00240208,-0.010439,0.0223313
0.488396,0.258528,0.264335,0.999724,-0.00390879,-0.00681168,0.0221216
0.497531,0.247809,0.276069,0.999742,-0.00520677,-0.00366326,0.0218262
0.506964,0.237062,0.28897,0.999751,-0.00640113,-0.000515473,0.021384
0.516129,0.226626,0.301724,0.999747,-0.00751171,0.00231836,0.02108
0.525263,0.216381,0.31433,0.999737,-0.00829442,0.00488879,0.0207965
0.534553,0.20623,0.326861,0.999721,-0.00917427,0.00743531,0.0204788
0.543556,0.195943,0.339206,0.999698,-0.00996297,0.00972323,0.0202643
0.550925,0.186564,0.349396,0.999674,-0.0106401,0.0114524,0.0201853
0.558141,0.176347,0.35952,0.999648,-0.0111929,0.0130997,0.0201519
0.564059,0.166904,0.367698,0.99962,-0.0118238,0.0145858,0.0201679
0.568891,0.158161,0.374058,0.999596,-0.0122663,0.0157149,0.0202635
0.573287,0.148918,0.379205,0.999572,-0.0128526,0.0164029,0.0205381
0.577228,0.139363,0.382778,0.999548,-0.0133575,0.0170631,0.0208202
0.580019,0.130563,0.38439,0.999532,-0.0138097,0.0170611,0.0212884
0.582047,0.121414,0.384422,0.999519,-0.0143627,0.016556,0.0219431
0.583452,0.111898,0.383363,0.999511,-0.0149537,0.0152281,0.0228336
0.584135,0.102595,0.381376,0.999506,-0.0157135,0.0129759,0.0239116
0.584099,0.0935196,0.378444,0.999502,-0.0163867,0.00979943,0.0251162
0.583314,0.0845347,0.37451,0.999491,-0.0169813,0.00585957,0.0263794
0.58243,0.0793892,0.371636,0.999476,-0.0173438,0.00320038,0.0271235
0.580221,0.0701493,0.36549,0.999429,-0.0181961,-0.00194615,0.0284164
0.576904,0.0604366,0.358049,0.999349,-0.0189224,-0.00776585,0.0297297
0.572243,0.0497983,0.348839,0.999232,-0.0196799,-0.0137713,0.0309519
