x, y, z, rx, ry, rz, w
1.25792,0.37063,0.38564,1,0,0,0
1.25792,0.37063,0.38564,1,0,0,0
1.25756,0.369015,0.384991,1,0,0,0
1.25771,0.36796,0.383998,1,0,0,0
1.25794,0.367199,0.382437,1,0,0,0
1.25834,0.367176,0.382234,1,0,0,0
1.2587,0.367125,0.382361,1,0,0,0
1.25888,0.367113,0.382529,1,0,0,0
1.25989,0.366991,0.383688,1,0,0,0
1.2607,0.365225,0.382521,1,0,0,0
1.26229,0.365645,0.381106,1,0,0,0
1.26271,0.365969,0.380274,1,0,0,0
1.2628,0.366137,0.380112,1,0,0,0
1.25976,0.368196,0.383624,1,0,0,0
1.25599,0.371194,0.385369,1,0,0,0
1.25525,0.37168,0.38537,1,0,0,0
1.25379,0.370919,0.385329,1,0,0,0
1.25407,0.368882,0.383638,1,0,0,0
1.25552,0.36575,0.381066,1,0,0,0
1.25635,0.365054,0.380604,1,0,0,0
1.25684,0.364953,0.380947,1,0,0,0
1.25796,0.366318,0.381868,1,0,0,0
1.26001,0.368001,0.383023,1,0,0,0
1.26073,0.368274,0.383409,1,0,0,0
1.26099,0.367771,0.383259,1,0,0,0
1.26103,0.367489,0.383139,1,0,0,0
1.26123,0.367379,0.383192,1,0,0,0
1.26134,0.36729,0.382626,1,0,0,0
1.26112,0.366879,0.380908,1,0,0,0
1.26096,0.366739,0.380417,1,0,0,0
1.26072,0.366534,0.37991,1,0,0,0
1.26074,0.366592,0.380218,1,0,0,0
1.25786,0.368415,0.384888,1,0,0,0
1.25626,0.369072,0.38647,1,0,0,0
1.25544,0.369277,0.386767,1,0,0,0
1.25529,0.369268,0.386575,1,0,0,0
1.25547,0.368937,0.386142,1,0,0,0
1.25686,0.368188,0.385244,1,0,0,0
1.25803,0.367277,0.386183,1,0,0,0
1.25811,0.366997,0.387393,1,0,0,0
1.25794,0.367003,0.387983,1,0,0,0
1.2578,0.367026,0.388037,1,0,0,0
1.25592,0.367084,0.389233,1,0,0,0
1.25577,0.3667,0.389237,1,0,0,0
1.25607,0.365659,0.38814,1,0,0,0
1.25632,0.365233,0.387691,1,0,0,0
1.25556,0.364098,0.385205,1,0,0,0
1.2553,0.364203,0.385078,1,0,0,0
1.25468,0.364693,0.384591,1,0,0,0
1.25292,0.367278,0.382684,1,0,0,0
1.25356,0.367831,0.384561,1,0,0,0
1.25457,0.367947,0.3869,1,0,0,0
1.25544,0.367459,0.388713,1,0,0,0
1.25495,0.367485,0.387437,1,0,0,0
1.2566,0.367821,0.384819,1,0,0,0
1.25723,0.367698,0.383407,1,0,0,0
1.25682,0.366456,0.38277,1,0,0,0
1.25666,0.365994,0.383133,1,0,0,0
1.25674,0.366179,0.383623,1,0,0,0
1.25674,0.366362,0.383795,1,0,0,0
1.25675,0.366463,0.383979,1,0,0,0
1.25722,0.365721,0.384375,1,0,0,0
1.25781,0.364861,0.384871,1,0,0,0
1.25803,0.364677,0.385091,1,0,0,0
1.2582,0.364689,0.385339,1,0,0,0
1.25823,0.364717,0.385359,1,0,0,0
1.259,0.366197,0.384048,1,0,0,0
1.25967,0.367217,0.3831,1,0,0,0
1.26017,0.367462,0.38308,1,0,0,0
1.26032,0.367411,0.383355,1,0,0,0
1.25895,0.368541,0.382599,1,0,0,0
1.25726,0.367526,0.381571,1,0,0,0
1.25566,0.366354,0.38048,1,0,0,0
1.25457,0.365881,0.380316,1,0,0,0
1.25564,0.367537,0.381928,1,0,0,0
1.25663,0.36871,0.385996,1,0,0,0
1.25604,0.367991,0.387254,1,0,0,0
1.25527,0.36681,0.386762,1,0,0,0
1.25518,0.366626,0.386992,1,0,0,0
1.2552,0.366671,0.387038,1,0,0,0
1.2552,0.36667,0.386983,1,0,0,0
1.25526,0.366628,0.386813,1,0,0,0
1.25545,0.366574,0.38662,1,0,0,0
1.25562,0.366544,0.386515,1,0,0,0
1.25586,0.36649,0.38646,1,0,0,0
1.25699,0.3659,0.386139,1,0,0,0
1.25858,0.365085,0.38583,1,0,0,0
1.2594,0.364754,0.385975,1,0,0,0
1.26181,0.364672,0.387518,1,0,0,0
1.26217,0.364583,0.387839,1,0,0,0
1.26232,0.364351,0.387964,1,0,0,0
1.26225,0.364276,0.387937,1,0,0,0
1.26166,0.36439,0.387302,1,0,0,0
1.26045,0.36494,0.386291,1,0,0,0
1.25949,0.36548,0.385551,1,0,0,0
1.25925,0.365651,0.385231,1,0,0,0
1.25928,0.365761,0.385111,1,0,0,0
1.25934,0.365827,0.385128,1,0,0,0
1.26026,0.364936,0.385979,1,0,0,0
1.26022,0.364851,0.386452,1,0,0,0
1.25992,0.364983,0.386955,1,0,0,0
1.25984,0.365027,0.387236,1,0,0,0
1.25987,0.365019,0.387391,1,0,0,0
1.25985,0.364963,0.387393,1,0,0,0
1.25985,0.364841,0.387314,1,0,0,0
1.25901,0.364161,0.384263,1,0,0,0
1.25911,0.363957,0.384149,1,0,0,0
1.25935,0.363882,0.384567,1,0,0,0
1.2597,0.363852,0.385278,1,0,0,0
1.25962,0.364339,0.386134,1,0,0,0
1.25822,0.365849,0.386345,1,0,0,0
1.25773,0.366521,0.38671,1,0,0,0
1.25695,0.367291,0.387084,1,0,0,0
1.25677,0.367352,0.387061,1,0,0,0
1.2567,0.367164,0.387344,1,0,0,0
1.25671,0.366973,0.387342,1,0,0,0
1.25685,0.366909,0.387398,1,0,0,0
1.25592,0.366224,0.38786,1,0,0,0
1.25526,0.365851,0.388531,1,0,0,0
1.25512,0.365801,0.388661,1,0,0,0
1.25513,0.365764,0.388698,1,0,0,0
1.2552,0.365771,0.388713,1,0,0,0
1.25534,0.365782,0.388698,1,0,0,0
1.25544,0.365732,0.388618,1,0,0,0
1.25563,0.366321,0.387465,1,0,0,0
1.25585,0.366409,0.387258,1,0,0,0
1.25612,0.366479,0.387666,1,0,0,0
1.25643,0.36685,0.387812,1,0,0,0
1.25654,0.367209,0.387724,1,0,0,0
1.25593,0.368097,0.38836,1,0,0,0
1.25379,0.367461,0.386027,1,0,0,0
1.25369,0.366598,0.385295,1,0,0,0
1.25463,0.366073,0.386378,1,0,0,0
1.25421,0.365386,0.385676,1,0,0,0
1.25348,0.3648,0.384867,1,0,0,0
1.25349,0.36413,0.385894,1,0,0,0
1.25331,0.364789,0.388067,1,0,0,0
1.25344,0.364578,0.387786,1,0,0,0
1.25398,0.364973,0.387575,1,0,0,0
1.25365,0.365765,0.388535,1,0,0,0
1.25329,0.366085,0.389222,1,0,0,0
1.25172,0.365043,0.38686,1,0,0,0
1.24949,0.363602,0.383569,1,0,0,0
1.2494,0.363617,0.383584,1,0,0,0
1.2496,0.363849,0.384073,1,0,0,0
1.24982,0.364076,0.384591,1,0,0,0
1.24994,0.36421,0.384821,1,0,0,0
1.2501,0.364377,0.385098,1,0,0,0
1.25024,0.364454,0.385275,1,0,0,0
1.25041,0.364565,0.385587,1,0,0,0
1.25085,0.364658,0.386747,1,0,0,0
1.25112,0.364689,0.387666,1,0,0,0
1.24914,0.366461,0.387781,1,0,0,0
1.24856,0.367215,0.388427,1,0,0,0
1.2481,0.367759,0.389843,1,0,0,0
1.24778,0.36783,0.390556,1,0,0,0
1.24749,0.36761,0.389925,1,0,0,0
1.24741,0.367481,0.389578,1,0,0,0
1.24703,0.365549,0.389292,1,0,0,0
1.24695,0.365362,0.38932,1,0,0,0
1.24736,0.365864,0.390663,1,0,0,0
1.24627,0.36506,0.388458,1,0,0,0
1.24576,0.366605,0.388092,1,0,0,0
1.24562,0.367063,0.388846,1,0,0,0
1.24552,0.367068,0.389844,1,0,0,0
1.2456,0.366952,0.390116,1,0,0,0
1.24652,0.367028,0.391818,1,0,0,0
1.24725,0.367006,0.393083,1,0,0,0
1.24754,0.366876,0.393494,1,0,0,0
1.24781,0.366614,0.393704,1,0,0,0
1.24784,0.366577,0.39355,1,0,0,0
1.24766,0.366937,0.393049,1,0,0,0
1.2476,0.367245,0.392814,1,0,0,0
1.24766,0.367212,0.392835,1,0,0,0
1.24792,0.368423,0.392306,1,0,0,0
1.24782,0.368854,0.392068,1,0,0,0
1.24775,0.368937,0.392061,1,0,0,0
1.24733,0.367146,0.390507,1,0,0,0
1.24719,0.364423,0.389378,1,0,0,0
1.24718,0.364239,0.389609,1,0,0,0
1.24713,0.364391,0.390035,1,0,0,0
1.24755,0.364949,0.390009,1,0,0,0
1.24863,0.365973,0.390063,1,0,0,0
1.24897,0.366162,0.390321,1,0,0,0
1.24884,0.365279,0.391216,1,0,0,0
1.24861,0.364757,0.391675,1,0,0,0
1.24581,0.367106,0.391901,1,0,0,0
1.24194,0.370716,0.39208,1,0,0,0
1.2379,0.375143,0.391901,1,0,0,0
1.24032,0.372803,0.389598,1,0,0,0
1.24886,0.366852,0.385795,1,0,0,0
1.25154,0.364596,0.386229,1,0,0,0
1.25345,0.363491,0.387357,1,0,0,0
1.25448,0.363815,0.387611,1,0,0,0
1.25388,0.364971,0.388625,1,0,0,0
1.25275,0.365606,0.389439,1,0,0,0
1.2521,0.365748,0.389711,1,0,0,0
1.25172,0.365938,0.389536,1,0,0,0
1.25127,0.365939,0.389469,1,0,0,0
1.25115,0.365902,0.389509,1,0,0,0
1.2508,0.366231,0.389182,1,0,0,0
1.25076,0.366275,0.389171,1,0,0,0
1.2506,0.366625,0.38974,1,0,0,0
1.25059,0.366695,0.389922,1,0,0,0
1.24931,0.366105,0.389157,1,0,0,0
1.24856,0.365588,0.389517,1,0,0,0
1.24648,0.364638,0.390765,1,0,0,0
1.24204,0.363166,0.389063,1,0,0,0
1.23845,0.364018,0.390227,1,0,0,0
1.23886,0.364594,0.391412,1,0,0,0
1.23961,0.364914,0.392264,1,0,0,0
1.23868,0.365035,0.389177,1,0,0,0
1.23822,0.365058,0.387663,1,0,0,0
1.23934,0.365964,0.389202,1,0,0,0
1.24103,0.366571,0.393325,1,0,0,0
1.24117,0.366558,0.395492,1,0,0,0
1.29372,0.385522,0.396456,1,0,0,0
1.31639,0.394213,0.381972,1,0,0,0
1.30591,0.394236,0.356952,1,0,0,0
1.27565,0.380156,0.342386,1,0,0,0
1.24973,0.368422,0.346306,1,0,0,0
1.24576,0.365094,0.36087,1,0,0,0
1.24822,0.362627,0.369377,1,0,0,0
1.248,0.360181,0.373919,1,0,0,0
1.24673,0.356658,0.3791,1,0,0,0
1.24505,0.356729,0.380066,1,0,0,0
1.24227,0.355556,0.38338,1,0,0,0
1.24188,0.355252,0.384286,1,0,0,0
1.24218,0.355064,0.38451,1,0,0,0
1.24179,0.354674,0.381465,1,0,0,0
1.24268,0.351998,0.377242,1,0,0,0
1.24635,0.346755,0.374318,1,0,0,0
1.24937,0.342704,0.374426,1,0,0,0
1.2525,0.339135,0.379984,1,0,0,0
1.25268,0.337457,0.382626,1,0,0,0
1.24827,0.333835,0.382616,1,0,0,0
1.24813,0.330775,0.38494,1,0,0,0
1.24823,0.331108,0.3855,1,0,0,0
1.25052,0.331276,0.384295,1,0,0,0
1.25217,0.331231,0.382905,1,0,0,0
1.28185,0.352465,0.356748,1,0,0,0
1.25886,0.351592,0.283359,1,0,0,0
1.21947,0.336816,0.253645,1,0,0,0
1.22219,0.328484,0.2465,1,0,0,0
1.22939,0.331893,0.245963,1,0,0,0
1.22712,0.335391,0.2472,1,0,0,0
1.19788,0.340657,0.238679,1,0,0,0
1.17394,0.344751,0.23289,1,0,0,0
1.16416,0.347308,0.234594,1,0,0,0
1.16119,0.348847,0.235526,1,0,0,0
1.15912,0.350034,0.235251,1,0,0,0
1.15778,0.350663,0.235124,1,0,0,0
1.15693,0.350213,0.234467,1,0,0,0
1.15638,0.349848,0.234424,1,0,0,0
1.15645,0.350039,0.235079,1,0,0,0
1.15641,0.350369,0.235191,1,0,0,0
1.15371,0.348805,0.232664,1,0,0,0
1.15197,0.347657,0.231229,1,0,0,0
1.15106,0.34642,0.231749,1,0,0,0
1.1504,0.34412,0.231907,1,0,0,0
1.14991,0.34192,0.23142,1,0,0,0
1.14981,0.339199,0.233305,1,0,0,0
1.14973,0.334377,0.240338,1,0,0,0
1.14886,0.332967,0.241825,1,0,0,0
1.2109,0.321867,0.236222,0.893187,0.0608239,-0.213111,0.39128
1.22708,0.309753,0.301297,0.898272,0.0536173,-0.185394,0.394792
1.21534,0.305108,0.372047,0.930599,0.0165291,-0.0969571,0.352578
1.21074,0.304809,0.411134,0.939639,0.00617923,-0.0336387,0.340453
1.20339,0.307342,0.449728,0.938211,-0.00409227,0.012016,0.345831
1.19826,0.308474,0.474475,0.933238,-0.0206376,0.0659544,0.352548
1.1882,0.313108,0.497898,0.929608,-0.0421457,0.11638,0.347144
1.16685,0.318313,0.499729,0.929384,-0.0661687,0.174961,0.318205
1.13766,0.32356,0.498975,0.925113,-0.0771926,0.195204,0.316389
1.11057,0.327515,0.492167,0.924269,-0.0876272,0.202615,0.31144
1.08388,0.323015,0.478436,0.931842,-0.0955846,0.200247,0.287116
1.0711,0.320523,0.468373,0.934075,-0.097506,0.195332,0.282562
0.996922,0.322065,0.440838,0.944944,-0.104579,0.178555,0.2535
0.954399,0.327521,0.435125,0.948553,-0.108013,0.16376,0.248522
0.89684,0.326783,0.426815,0.958942,-0.114867,0.131442,0.223513
0.854125,0.332893,0.439176,0.962376,-0.116433,0.119111,0.214682
0.78092,0.309463,0.44449,0.967052,-0.128576,0.0891982,0.200804
0.759979,0.297997,0.434317,0.967869,-0.134879,0.0807624,0.196253
0.720293,0.287019,0.419968,0.970181,-0.144611,0.0621188,0.184333
0.709148,0.28324,0.41114,0.972616,-0.149616,0.0481533,0.171217
0.685529,0.273102,0.393572,0.977971,-0.147617,0.0272133,0.145055
0.666979,0.263348,0.38217,0.978577,-0.150241,0.000555762,0.140764
0.641557,0.248327,0.367665,0.980529,-0.139319,-0.0459921,0.130528
0.631389,0.240874,0.359691,0.981953,-0.138268,-0.0614674,0.113455
0.611865,0.226614,0.334102,0.9812,-0.13889,-0.0887865,0.100361
0.605585,0.222499,0.326289,0.977916,-0.124688,-0.12433,0.112581
0.597882,0.217327,0.318504,0.976431,-0.132913,-0.137488,0.100067
0.598374,0.216802,0.315763,0.975391,-0.13866,-0.14211,0.095872
0.589141,0.211964,0.310031,0.974645,-0.142887,-0.145256,0.0924771
0.585222,0.212828,0.309733,0.975695,-0.149178,-0.124606,0.101186
0.577862,0.207746,0.310397,0.978837,-0.167771,-0.083136,0.0825825
0.580757,0.20654,0.315585,0.978919,-0.166992,-0.0775831,0.0883871
0.603445,0.20501,0.341105,0.975507,-0.176228,-0.0520594,0.120912
0.627841,0.206459,0.36416,0.971557,-0.195908,-0.023516,0.130938
0.666907,0.208283,0.395838,0.965793,-0.209689,-0.00099093,0.152555
0.692395,0.209623,0.415146,0.963094,-0.210351,0.00354857,0.1679
0.734843,0.216533,0.444026,0.954685,-0.215839,0.0172393,0.20419
0.76003,0.217978,0.456517,0.946214,-0.21542,0.0233772,0.240264
0.799543,0.21936,0.476297,0.93435,-0.223257,0.0454728,0.274004
0.811199,0.218293,0.481017,0.926859,-0.2188,0.068962,0.297158
0.831524,0.21678,0.491808,0.926773,-0.209672,0.0825145,0.300534
0.83777,0.217904,0.496356,0.926452,-0.205061,0.086081,0.303689
0.83793,0.217368,0.497126,0.933727,-0.169945,0.102923,0.297791
0.843356,0.217615,0.500036,0.938055,-0.156388,0.104017,0.291164
0.843111,0.21752,0.501835,0.944864,-0.129525,0.103045,0.282554
0.830574,0.220098,0.500399,0.956107,-0.115837,0.0848714,0.255416
0.807981,0.223235,0.495278,0.966826,-0.120085,0.0391628,0.222023
0.795965,0.223986,0.492592,0.970455,-0.123899,0.0239585,0.205649
0.765174,0.222764,0.480055,0.9741,-0.139481,-0.00184993,0.17796
0.744502,0.221865,0.471562,0.975589,-0.151517,-0.0237225,0.157181
0.711297,0.213112,0.456428,0.976746,-0.161379,-0.0335372,0.137107
0.690507,0.205485,0.446951,0.974846,-0.176387,-0.0477504,0.127608
0.650224,0.187067,0.429112,0.972433,-0.188972,-0.058595,0.123407
0.635849,0.178825,0.42037,0.970793,-0.194511,-0.0713117,0.120997
0.607198,0.163452,0.400322,0.969206,-0.203174,-0.0828407,0.111796
0.58718,0.152932,0.387195,0.968631,-0.204755,-0.0859895,0.111513
0.564392,0.14114,0.368572,0.969196,-0.209906,-0.0964427,0.0854193
0.537147,0.12313,0.351687,0.970594,-0.202276,-0.121803,0.0468688
0.519088,0.112972,0.336631,0.969278,-0.202381,-0.131865,0.0464125
0.505505,0.103195,0.324777,0.967172,-0.195845,-0.157162,0.0390164
0.491652,0.0961653,0.308842,0.964247,-0.187191,-0.186021,0.024175
0.481074,0.090662,0.294189,0.96114,-0.174443,-0.211086,0.0349614
0.479698,0.0933578,0.28752,0.951175,-0.158571,-0.25124,0.0836657
0.461377,0.0845228,0.262813,0.944372,-0.151404,-0.275449,0.0967796
0.454049,0.0768565,0.247644,0.937573,-0.126508,-0.295566,0.132642
0.451501,0.0744408,0.238415,0.927186,-0.0996554,-0.309614,0.185834
0.440643,0.0655485,0.221935,0.926678,-0.0905458,-0.315344,0.183379
0.420298,0.0515156,0.198687,0.926678,-0.0905458,-0.315344,0.183379
0.408877,0.0486131,0.179335,0.92396,-0.0860442,-0.319913,0.191182
0.390028,0.018789,0.155766,0.924591,-0.0796145,-0.316039,0.19726
0.380408,0.00700796,0.135678,0.928278,-0.0854429,-0.306243,0.192911
0.381007,0.00338752,0.135579,0.932294,-0.0982423,-0.277884,0.209658
0.37566,0.00480107,0.125547,0.936503,-0.121553,-0.270542,0.187067
0.374076,0.00684165,0.123779,0.934574,-0.123072,-0.278133,0.18457
0.376986,0.0120628,0.126183,0.924997,-0.102877,-0.286308,0.22765
0.387279,0.0168914,0.133659,0.925929,-0.107121,-0.278164,0.231958
0.410423,0.0247244,0.173215,0.951903,-0.169825,-0.195468,0.163807
0.432314,0.0326514,0.213889,0.953677,-0.182632,-0.175259,0.162573
0.466186,0.0460469,0.262897,0.952339,-0.221409,-0.128121,0.166171
0.496854,0.061558,0.30065,0.94854,-0.252428,-0.0889026,0.169256
0.534677,0.0843026,0.353579,0.934119,-0.289368,-0.0637125,0.199071
0.554883,0.0977349,0.383679,0.930217,-0.295098,-0.0631924,0.208855
0.584701,0.11643,0.419253,0.918843,-0.31262,-0.0531742,0.234881
0.594274,0.122869,0.428093,0.914339,-0.317052,-0.0452006,0.247827
0.629604,0.142456,0.466063,0.916792,-0.31873,-0.0378101,0.237643
0.645338,0.148449,0.478581,0.920878,-0.318292,-0.0235667,0.223873
0.659118,0.158824,0.492773,0.924041,-0.321677,-0.0166299,0.205903
0.672204,0.165847,0.503774,0.927093,-0.327515,-0.00909982,0.182068
0.684393,0.170362,0.511614,0.937084,-0.318581,-0.00552884,0.142651
0.69073,0.172978,0.514352,0.939003,-0.316936,-0.00443262,0.13344
0.693786,0.175615,0.513724,0.944645,-0.308869,-0.00470895,0.110559
0.694792,0.176729,0.512612,0.94764,-0.304733,-0.00101758,0.095471
0.68983,0.176958,0.50933,0.94771,-0.304807,-0.00192072,0.0945292
0.677558,0.170648,0.50087,0.950604,-0.298366,-0.0131034,0.0846047
0.656608,0.163778,0.485308,0.953239,-0.293349,-0.0223015,0.0691649
0.644585,0.161373,0.475669,0.953475,-0.293623,-0.0244518,0.0638204
0.61709,0.152929,0.455587,0.953701,-0.291468,-0.0418794,0.0612079
0.601323,0.146665,0.441236,0.953605,-0.288636,-0.0570758,0.0637899
0.584105,0.138846,0.422665,0.954156,-0.281601,-0.0770469,0.0659649
0.5716,0.134147,0.409386,0.954367,-0.278568,-0.0848342,0.0662301
0.542325,0.121991,0.370145,0.953798,-0.268731,-0.109997,0.0771627
0.526568,0.114723,0.348334,0.95376,-0.266156,-0.114728,0.0796208
0.51186,0.109494,0.329608,0.95276,-0.262366,-0.124425,0.0890545
0.479708,0.0984966,0.287185,0.952331,-0.250192,-0.144355,0.0981381
0.458585,0.0896657,0.259703,0.953942,-0.239788,-0.154652,0.0926284
0.440418,0.0844383,0.236578,0.953092,-0.231822,-0.178613,0.0772737
0.41455,0.093007,0.209134,0.951659,-0.211165,-0.206111,0.085287
0.410127,0.0888436,0.19485,0.948927,-0.199862,-0.221623,0.102357
0.394925,0.0773145,0.147513,0.943617,-0.165767,-0.252631,0.135227
0.387036,0.0659224,0.137299,0.939794,-0.147102,-0.271499,0.146413
0.376639,0.0529954,0.117746,0.93639,-0.13316,-0.290323,0.145447
0.37779,0.0544028,0.135833,0.93411,-0.125829,-0.292888,0.160694
0.373764,0.0438683,0.132434,0.926443,-0.11637,-0.296264,0.20097
0.378837,0.0412992,0.117151,0.92727,-0.116634,-0.296672,0.196346
0.388878,0.0446447,0.0932564,0.915118,-0.100234,-0.30384,0.245344
0.393339,0.0494431,0.0897512,0.907406,-0.0927227,-0.302534,0.276568
0.402925,0.0556144,0.0930321,0.927471,-0.13757,-0.274956,0.21277
0.407616,0.0560452,0.0995874,0.927142,-0.128696,-0.270545,0.225057
0.420924,0.0634969,0.138453,0.935006,-0.168445,-0.243909,0.194676
0.433611,0.0653664,0.164868,0.942318,-0.196365,-0.201516,0.181297
0.450629,0.0759523,0.207529,0.946969,-0.216453,-0.165691,0.17013
0.464493,0.0842998,0.231312,0.942762,-0.234764,-0.129496,0.198287
0.494757,0.0997604,0.276905,0.93364,-0.262871,-0.0863739,0.227497
0.518402,0.111009,0.311518,0.931282,-0.278493,-0.0625797,0.226361
0.53788,0.12076,0.348724,0.927836,-0.285814,-0.0411634,0.236087
0.559826,0.132487,0.377524,0.925515,-0.286925,-0.0307671,0.245254
0.579974,0.146561,0.402364,0.92271,-0.296901,-0.0180392,0.245218
0.595394,0.154406,0.421673,0.921597,-0.304766,-0.000583661,0.240368
0.613473,0.162595,0.439974,0.917275,-0.308532,0.00679083,0.251733
0.626073,0.166747,0.452854,0.915762,-0.309947,0.0147261,0.255138
0.643611,0.164861,0.467291,0.915204,-0.308494,0.0258511,0.258002
0.651716,0.16637,0.468741,0.914262,-0.307923,0.0286377,0.261701
0.663783,0.162748,0.472774,0.909251,-0.297027,0.053487,0.286665
0.665926,0.161725,0.471102,0.907813,-0.289941,0.0578804,0.297423
0.663584,0.157199,0.465563,0.923525,-0.264566,0.0697521,0.268776
0.662293,0.15352,0.46044,0.935542,-0.252206,0.0563849,0.240779
0.650471,0.143369,0.442905,0.951574,-0.231747,-0.0166972,0.201299
0.639469,0.138099,0.428645,0.954314,-0.226453,-0.0305027,0.192544
0.618326,0.131785,0.395066,0.962079,-0.212654,-0.0739407,0.153999
0.602517,0.125963,0.373508,0.964197,-0.207299,-0.0837389,0.142616
0.58678,0.120562,0.348429,0.96746,-0.191553,-0.119963,0.113739
0.576463,0.115426,0.331127,0.968428,-0.18783,-0.131343,0.0980579
0.557564,0.103757,0.293062,0.968307,-0.173055,-0.165083,0.071982
0.552541,0.0993082,0.28338,0.96722,-0.166196,-0.176643,0.0752423
0.538335,0.0863193,0.264216,0.965279,-0.151776,-0.197485,0.0787423
0.532393,0.0775665,0.253946,0.962843,-0.144732,-0.212487,0.0826827
0.525389,0.0681057,0.242107,0.959094,-0.135773,-0.232188,0.0882761
0.518871,0.0601926,0.227341,0.955995,-0.138142,-0.239852,0.0972711
0.509439,0.04849,0.204398,0.952812,-0.13896,-0.247563,0.107482
0.506957,0.0443176,0.192102,0.951102,-0.139987,-0.250263,0.114797
0.507485,0.0302507,0.162101,0.946046,-0.138178,-0.250716,0.151809
0.510704,0.02692,0.131757,0.942654,-0.142438,-0.25129,0.16724
0.522024,0.0305127,0.137018,0.916847,-0.100355,-0.267266,0.279085
0.521576,0.0280047,0.145866,0.908121,-0.106472,-0.269085,0.302612
0.529716,0.0207228,0.15774,0.93046,-0.145879,-0.233282,0.241957
0.537032,0.0259999,0.163792,0.942669,-0.177102,-0.207881,0.191819
0.556649,0.0283928,0.186901,0.942929,-0.181306,-0.202338,0.192541
