x, y, z, rx, ry, rz, w
0.400136,0.326043,0.200136,1,0,0,0
0.400136,0.326043,0.200136,1,0,0,0
0.40031,0.319862,0.20031,1,0,0,0
0.402189,0.313468,0.202189,1,0,0,0
0.405742,0.306857,0.205742,1,0,0,0
0.410907,0.300035,0.210907,1,0,0,0
0.417597,0.293008,0.217597,1,0,0,0
0.425697,0.285779,0.225697,1,0,0,0
0.435073,0.278351,0.235073,1,0,0,0
0.445556,0.270736,0.245556,1,0,0,0
0.456965,0.26294,0.256965,1,0,0,0
0.469104,0.254966,0.269104,1,0,0,0
0.481794,0.246803,0.281794,1,0,0,0
0.494784,0.238479,0.294784,1,0,0,0
0.507863,0.229991,0.307863,1,0,0,0
0.520807,0.221346,0.320807,1,0,0,0
0.533397,0.212548,0.333397,1,0,0,0
0.545414,0.203605,0.345414,1,0,0,0
0.556654,0.194523,0.356654,1,0,0,0
0.566926,0.185306,0.366926,1,0,0,0
0.576058,0.175957,0.376058,1,0,0,0
0.583888,0.166485,0.383888,1,0,0,0
0.590266,0.156923,0.390266,1,0,0,0
0.595111,0.147237,0.395111,1,0,0,0
0.598328,0.137452,0.398328,1,0,0,0
0.599864,0.12757,0.399864,1,0,0,0
0.599691,0.117611,0.399691,1,0,0,0
0.597811,0.107555,0.397811,1,0,0,0
0.594257,0.0974296,0.394257,1,0,0,0
0.589092,0.0872418,0.389092,1,0,0,0
0.582403,0.0769954,0.382403,1,0,0,0
0.574301,0.0666912,0.374301,1,0,0,0
0.564932,0.0563475,0.364932,1,0,0,0
0.554449,0.0459609,0.354449,1,0,0,0
0.543036,0.0355445,0.343036,1,0,0,0
0.530892,0.0251083,0.330892,1,0,0,0
0.518207,0.0146439,0.318207,1,0,0,0
0.505216,0.00417438,0.305216,1,0,0,0
0.492128,-0.00630379,0.292128,1,0,0,0
0.479193,-0.0167634,0.279193,1,0,0,0
0.466603,-0.02722,0.266603,1,0,0,0
0.454585,-0.0376579,0.254585,1,0,0,0
0.443338,-0.0480751,0.243338,1,0,0,0
0.433075,-0.0584462,0.233075,1,0,0,0
0.423937,-0.0687985,0.223937,1,0,0,0
0.416119,-0.0790824,0.216119,1,0,0,0
0.409735,-0.0893121,0.209735,1,0,0,0
0.404889,-0.0994898,0.204889,1,0,0,0
0.401671,-0.109597,0.201671,1,0,0,0
0.400136,-0.11963,0.200136,1,0,0,0
0.40031,-0.129586,0.20031,1,0,0,0
0.40219,-0.139445,0.20219,1,0,0,0
0.405742,-0.149208,0.205742,1,0,0,0
0.410907,-0.158872,0.210907,1,0,0,0
0.417596,-0.168426,0.217596,1,0,0,0
0.425697,-0.177866,0.225697,1,0,0,0
0.435067,-0.187183,0.235067,1,0,0,0
0.445551,-0.196374,0.245551,1,0,0,0
0.456964,-0.205428,0.256964,1,0,0,0
0.469123,-0.214348,0.269123,1,0,0,0
0.481794,-0.22311,0.281794,1,0,0,0
0.494783,-0.231723,0.294783,1,0,0,0
0.507863,-0.240179,0.307863,1,0,0,0
0.520807,-0.248469,0.320807,1,0,0,0
0.533397,-0.25659,0.333397,1,0,0,0
0.545422,-0.26454,0.345422,1,0,0,0
0.556661,-0.272303,0.356661,1,0,0,0
0.566926,-0.279875,0.366926,1,0,0,0
0.576051,-0.28726,0.376051,1,0,0,0
0.583877,-0.294448,0.383877,1,0,0,0
0.590269,-0.301438,0.390269,1,0,0,0
0.595111,-0.308214,0.395111,1,0,0,0
0.598329,-0.314782,0.398329,1,0,0,0
0.599864,-0.321135,0.399864,1,0,0,0
0.59969,-0.327268,0.39969,1,0,0,0
0.597811,-0.333176,0.397811,1,0,0,0
0.594258,-0.338857,0.394258,1,0,0,0
0.589093,-0.344304,0.389093,1,0,0,0
0.582403,-0.349515,0.382403,1,0,0,0
0.574303,-0.354488,0.374303,1,0,0,0
0.564932,-0.359217,0.364932,1,0,0,0
0.554442,-0.363703,0.354442,1,0,0,0
0.543036,-0.367934,0.343036,1,0,0,0
0.530885,-0.371916,0.330885,1,0,0,0
0.518204,-0.375643,0.318204,1,0,0,0
0.505217,-0.379112,0.305217,1,0,0,0
0.492137,-0.382321,0.292137,1,0,0,0
0.479193,-0.385269,0.279193,1,0,0,0
0.466604,-0.387952,0.266604,1,0,0,0
0.454579,-0.390371,0.254579,1,0,0,0
0.443345,-0.39252,0.243345,1,0,0,0
0.433069,-0.394402,0.233069,1,0,0,0
0.423948,-0.396011,0.223948,1,0,0,0
0.416117,-0.397352,0.216117,1,0,0,0
0.40973,-0.398418,0.20973,1,0,0,0
0.404889,-0.399212,0.204889,1,0,0,0
0.40167,-0.399732,0.20167,1,0,0,0
0.400136,-0.399978,0.200136,1,0,0,0
0.40031,-0.39995,0.20031,1,0,0,0
0.402187,-0.399649,0.202187,1,0,0,0
0.405744,-0.399072,0.205744,1,0,0,0
0.410911,-0.398223,0.210911,1,0,0,0
0.417594,-0.397102,0.217594,1,0,0,0
0.425697,-0.395707,0.225697,1,0,0,0
0.435071,-0.394041,0.235071,1,0,0,0
0.445557,-0.392105,0.245557,1,0,0,0
0.456965,-0.389901,0.256965,1,0,0,0
0.469123,-0.387428,0.269123,1,0,0,0
0.481793,-0.384693,0.281793,1,0,0,0
0.494776,-0.381694,0.294776,1,0,0,0
0.507871,-0.378428,0.307871,1,0,0,0
0.520807,-0.374908,0.320807,1,0,0,0
0.533396,-0.37113,0.333396,1,0,0,0
0.545414,-0.367096,0.345414,1,0,0,0
0.556661,-0.362809,0.356661,1,0,0,0
0.566926,-0.358279,0.366926,1,0,0,0
0.576052,-0.3535,0.376052,1,0,0,0
0.583876,-0.348479,0.383876,1,0,0,0
0.590266,-0.343219,0.390266,1,0,0,0
0.595114,-0.337719,0.395114,1,0,0,0
0.59833,-0.331993,0.39833,1,0,0,0
0.599864,-0.326043,0.399864,1,0,0,0
0.59969,-0.319866,0.39969,1,0,0,0
0.59781,-0.313466,0.39781,1,0,0,0
0.594257,-0.306856,0.394257,1,0,0,0
0.589089,-0.300031,0.389089,1,0,0,0
0.582403,-0.293008,0.382403,1,0,0,0
0.574311,-0.285786,0.374311,1,0,0,0
0.564932,-0.278356,0.364932,1,0,0,0
0.55445,-0.270741,0.35445,1,0,0,0
0.543036,-0.26294,0.343036,1,0,0,0
0.530885,-0.254959,0.330885,1,0,0,0
0.518198,-0.246798,0.318198,1,0,0,0
0.505216,-0.238479,0.305216,1,0,0,0
0.492138,-0.229991,0.292138,1,0,0,0
0.479191,-0.221344,0.279191,1,0,0,0
0.466604,-0.212548,0.266604,1,0,0,0
0.454579,-0.2036,0.254579,1,0,0,0
0.443346,-0.194523,0.243346,1,0,0,0
0.43308,-0.185312,0.23308,1,0,0,0
0.423948,-0.175963,0.223948,1,0,0,0
0.416124,-0.166501,0.216124,1,0,0,0
0.409734,-0.156922,0.209734,1,0,0,0
0.404889,-0.147237,0.204889,1,0,0,0
0.401672,-0.137454,0.201672,1,0,0,0
0.400136,-0.127571,0.200136,1,0,0,0
0.40031,-0.117598,0.20031,1,0,0,0
0.402193,-0.10754,0.202193,1,0,0,0
0.405742,-0.0974328,0.205742,1,0,0,0
0.410907,-0.0872441,0.210907,1,0,0,0
0.417601,-0.0769898,0.217601,1,0,0,0
0.425698,-0.0666932,0.225698,1,0,0,0
0.435068,-0.0563474,0.235068,1,0,0,0
0.445557,-0.0459553,0.245557,1,0,0,0
0.456965,-0.0355438,0.256965,1,0,0,0
0.469114,-0.0251033,0.269114,1,0,0,0
0.481793,-0.014644,0.281793,1,0,0,0
0.494783,-0.00417538,0.294783,1,0,0,0
0.507864,0.0062972,0.307864,1,0,0,0
0.520815,0.0167697,0.320815,1,0,0,0
0.533396,0.0272193,0.333396,1,0,0,0
0.545415,0.0376575,0.345415,1,0,0,0
0.556655,0.0480681,0.356655,1,0,0,0
0.566926,0.0584473,0.366926,1,0,0,0
0.576052,0.0687851,0.376052,1,0,0,0
0.583882,0.0790842,0.383882,1,0,0,0
0.590266,0.089313,0.390266,1,0,0,0
0.595114,0.0994965,0.395114,1,0,0,0
0.598329,0.109597,0.398329,1,0,0,0
0.599864,0.119629,0.399864,1,0,0,0
0.59969,0.12958,0.39969,1,0,0,0
0.59781,0.139445,0.39781,1,0,0,0
