Fx, Fy, Fz, Mx, My, Mz
-2.2857,-0.0916689,-1.3732,0.271092,-1.27394,-0.147578
-2.21703,-0.110277,-1.32748,0.290239,-1.24772,-0.151457
-2.18144,-0.0885526,-1.2988,0.30861,-1.21659,-0.141682
-2.18434,-0.106538,-1.24892,0.360953,-1.23244,-0.147813
-2.15546,-0.164657,-1.27199,0.428555,-1.19534,-0.183511
-2.14113,-0.130484,-1.27893,0.431061,-1.18139,-0.172003
-2.24845,-0.0507969,-1.24288,0.429163,-1.26257,-0.131675
-2.4723,-0.141759,-1.31184,0.492777,-1.37176,-0.168772
-2.46572,-0.0984342,-1.29705,0.471469,-1.37201,-0.149516
-2.4145,-0.201499,-1.26028,0.530939,-1.34726,-0.207729
-2.42206,-0.1453,-1.27838,0.485666,-1.33929,-0.175521
-2.45134,-0.16925,-1.28143,0.494156,-1.3473,-0.175786
-2.45923,-0.16475,-1.22033,0.483861,-1.38287,-0.167128
-2.4828,-0.172321,-1.29241,0.451424,-1.37351,-0.161394
-2.51507,-0.201251,-1.18011,0.445457,-1.45527,-0.174009
-2.54521,-0.189999,-1.18877,0.427271,-1.48157,-0.170903
-2.54368,-0.185293,-1.21865,0.421137,-1.46506,-0.171771
-2.51939,-0.194224,-1.26291,0.436012,-1.41892,-0.178416
-2.58409,-0.171311,-1.26883,0.443596,-1.43703,-0.165816
-2.66321,-0.209553,-1.28066,0.459667,-1.47344,-0.183503
-2.63479,-0.179994,-1.25591,0.432976,-1.4656,-0.179395
-2.71207,-0.173011,-1.21237,0.413289,-1.53719,-0.184337
-2.65054,-0.15315,-1.2842,0.394877,-1.4671,-0.179527
-2.64921,-0.147916,-1.25706,0.40196,-1.47123,-0.177531
-2.5952,-0.253994,-1.27644,0.515666,-1.38737,-0.229097
-2.70255,-0.218628,-1.13327,0.523632,-1.45743,-0.196038
-2.88734,-0.29812,-1.10313,0.585009,-1.56181,-0.212939
-2.80007,-0.301451,-1.13045,0.586345,-1.49085,-0.217962
-2.83486,-0.250067,-1.05806,0.557176,-1.55345,-0.195397
-2.88057,-0.236297,-1.14805,0.537109,-1.55015,-0.190495
-2.91693,-0.259255,-1.173,0.539493,-1.5758,-0.200934
-2.88603,-0.346248,-1.19352,0.571186,-1.55929,-0.251993
-2.90151,-0.234239,-1.13376,0.497767,-1.60001,-0.198643
-2.87154,-0.233121,-1.14344,0.477586,-1.58342,-0.201459
-2.85389,-0.27137,-1.11087,0.485505,-1.58478,-0.226501
-2.8891,-0.283794,-1.05774,0.486704,-1.6319,-0.213937
-2.82867,-0.311305,-1.1337,0.483368,-1.56427,-0.210799
-2.77949,-0.350245,-1.14401,0.479079,-1.54166,-0.227646
-2.76154,-0.370137,-1.14914,0.476514,-1.53827,-0.235376
-2.82264,-0.328824,-1.14203,0.428314,-1.60593,-0.213409
-2.80443,-0.335291,-1.30196,0.403882,-1.5931,-0.236736
-2.85414,-0.373444,-1.4333,0.299337,-1.67064,-0.296265
-2.85108,-0.418365,-1.42247,0.151153,-1.7203,-0.319791
-2.858,-0.541114,-1.31325,0.0610179,-1.80564,-0.352999
-2.87232,-0.625541,-1.15813,0.0402533,-1.901,-0.357615
-2.98056,-0.62568,-1.06472,0.0240247,-2.00694,-0.320596
-2.77539,-0.618663,-0.859933,0.0141307,-1.98326,-0.31791
-2.77773,-0.53052,-0.74309,-0.0410453,-2.04708,-0.251675
-2.67906,-0.416748,-0.754354,-0.115886,-2.00442,-0.194564
-2.77055,-0.373336,-0.751499,-0.169746,-2.08387,-0.158083
-2.98479,-0.0857106,-0.551553,-0.389098,-2.33994,-0.040162
-3.10328,-0.142656,-0.334237,-0.397957,-2.5612,-0.06021
-2.99563,-0.0353448,-0.623779,-0.592189,-2.41758,-0.012597
-3.43143,0.165487,-0.649439,-0.770722,-2.71747,0.107857
-3.86672,0.171294,-0.932373,-0.849656,-2.99672,0.168708
-3.93307,-0.216502,-1.42565,-0.610102,-2.83996,-0.000986362
-4.03112,-0.155435,-1.51001,-0.643138,-2.93641,0.0589549
-3.82306,-0.37323,-1.93844,-0.527391,-2.69121,-0.0233176
-4.51522,-0.243174,-1.81945,-0.581683,-3.2828,0.125552
-4.44653,-0.484129,-2.23399,-0.456883,-3.11489,0.0624352
-4.79896,-0.488553,-2.60054,-0.489436,-3.24291,0.145136
-4.28838,-0.494295,-2.86782,-0.502489,-2.83349,0.157602
-4.37372,-1.05229,-2.55083,-0.104519,-3.09391,-0.024829
-4.37356,-0.486429,-3.66911,-0.613324,-2.64798,0.26866
-4.46783,-1.07134,-2.0323,-0.00490836,-3.42579,0.0790809
-4.47354,-1.14717,-2.41061,-0.027526,-3.31436,0.106961
-4.10793,-0.771499,-3.56522,-0.439236,-2.58261,0.260828
-4.82469,-1.54514,-3.80748,0.0198795,-2.96217,0.104605
-5.11515,-1.28638,-3.28514,-0.10015,-3.34322,0.301273
-4.46216,-1.52068,-2.84641,0.117979,-3.10943,0.141872
-3.94251,-1.14157,-2.25015,-0.0120665,-3.0105,0.256206
-3.77139,-1.47451,-2.37675,0.172458,-2.82322,0.132258
-3.23896,-0.759666,-1.88036,-0.174591,-2.69179,0.356699
-2.71869,-1.14726,-3.7918,-0.306216,-1.61037,0.14413
-2.74981,-0.739665,-3.86867,-0.55223,-1.59267,0.350459
-2.67858,-1.16708,-4.07141,-0.381274,-1.51436,0.202624
-1.90891,-0.510226,-2.68839,-0.463657,-1.64075,0.329395
-1.96991,-0.633778,-3.22895,-0.499038,-1.46297,0.32111
-1.55419,-0.46753,-4.34976,-0.852115,-0.867255,0.322236
-1.14949,-0.332552,-3.24421,-0.667305,-1.0659,0.272653
-2.91245,-0.767331,-2.88406,-0.0312169,-1.62338,0.580233
-2.68246,-1.1345,-2.17541,0.608186,-1.28056,0.4767
-3.03797,-1.15876,-1.50401,0.970999,-1.22231,0.663854
-3.45402,-1.46268,-0.508835,1.40696,-1.44915,0.67458
-3.26692,-0.8584,-0.355137,1.05317,-1.27895,0.871778
-3.47473,-1.3728,0.528541,1.46174,-1.68046,0.744083
-2.70932,-1.09865,0.491192,1.17584,-1.24753,0.649764
-2.72358,-0.74852,0.797968,0.892498,-1.25817,0.703723
-2.35702,-0.685491,1.31667,0.817176,-1.14134,0.527944
-3.20806,-0.43627,2.03867,0.847328,-1.60749,0.826379
-2.82758,-0.818827,2.18454,1.1707,-1.32106,0.6003
-3.60425,-0.699843,2.36988,1.28288,-1.66496,0.928524
-2.69177,-1.44576,2.26388,1.68594,-1.18325,0.426598
-3.31063,-1.20268,2.29236,1.69466,-1.45313,0.782166
-3.26348,-1.71645,2.7938,2.15797,-1.63886,0.628942
-3.0063,-1.988,2.21508,2.16495,-1.38697,0.485397
-3.57075,-2.28667,2.04014,2.25527,-1.69526,0.539665
-2.93578,-2.18884,2.44056,2.27873,-1.55157,0.344699
-2.99527,-2.66505,1.30508,2.17195,-1.30008,0.177182
-2.75361,-2.53217,2.25647,2.35437,-1.51274,0.097658
-2.4625,-2.43741,1.40269,2.07695,-1.19201,-0.00762772
-2.39716,-2.37715,2.12569,2.23659,-1.40478,-0.0459443
-3.20506,-2.33369,2.30228,2.28206,-2.00727,0.151163
-3.35399,-2.43594,1.60208,2.17495,-1.92393,0.0856165
-2.33157,-1.87789,2.14814,1.99521,-1.53189,-0.00542719
-3.00515,-1.95917,1.30905,1.90552,-1.74159,0.0484422
