x, y, z, rx, ry, rz, w
0.521435,0.0509504,0.426838,0.919013,0.391698,0.0197189,0.0399949
0.521435,0.0509504,0.426838,0.919013,0.391698,0.0197189,0.0399949
0.521482,0.0509611,0.42658,0.919035,0.39166,0.0194753,0.0399582
0.521539,0.0509751,0.426239,0.919048,0.391652,0.0191457,0.0399142
0.521619,0.0509983,0.425776,0.919058,0.391657,0.0187034,0.0398497
0.521732,0.0510342,0.425133,0.919074,0.391657,0.018094,0.039754
0.521847,0.0510703,0.42446,0.9191,0.391635,0.0174577,0.0396445
0.521961,0.0512119,0.4237,0.919217,0.39143,0.0168256,0.0392442
0.522061,0.0513533,0.422991,0.91935,0.391182,0.0162448,0.0388379
0.522099,0.0514499,0.422676,0.919451,0.390981,0.0160164,0.0385573
0.522147,0.0516234,0.422216,0.919629,0.390624,0.0157096,0.0380514
0.522181,0.0517456,0.421903,0.919718,0.390458,0.0154994,0.037709
0.522201,0.0518308,0.421695,0.919764,0.390378,0.0153602,0.0374558
0.522213,0.0518687,0.421585,0.919782,0.39035,0.0152818,0.0373506
0.522218,0.0518726,0.421554,0.919783,0.39035,0.0152552,0.0373395
0.522221,0.0518718,0.421561,0.919784,0.390346,0.015265,0.0373417
0.522224,0.0518714,0.421561,0.919787,0.390339,0.0152722,0.0373414
0.522223,0.0518753,0.421563,0.919788,0.390337,0.0152749,0.0373406
0.522223,0.0518752,0.42156,0.919791,0.390329,0.0152723,0.0373329
0.522216,0.0518777,0.421553,0.919799,0.390313,0.015261,0.0373126
0.522216,0.05187,0.421545,0.919808,0.390293,0.0152515,0.0373041
0.522218,0.0518556,0.421546,0.919837,0.390225,0.0152551,0.0373002
0.522217,0.0518535,0.421539,0.919993,0.389859,0.0152606,0.0372944
0.522218,0.0518527,0.42154,0.920053,0.389716,0.0152694,0.0372928
0.522214,0.0518488,0.421537,0.920226,0.389308,0.0152772,0.0372763
0.522157,0.0518707,0.421491,0.92054,0.388591,0.0152192,0.0370418
0.522062,0.0518834,0.421336,0.920991,0.387558,0.0151425,0.0366721
0.521894,0.051937,0.421018,0.921535,0.38632,0.0149606,0.0361576
0.521668,0.0520067,0.420581,0.922019,0.385234,0.0147134,0.0354742
0.521492,0.0520498,0.420213,0.922465,0.384232,0.0145309,0.0348198
0.521417,0.0520456,0.420062,0.922771,0.383526,0.0144721,0.034537
