x, y, z, rx, ry, rz, w
0.513646,0.0514346,0.412163,0.922037,0.383574,0.0364169,0.0373142
0.513646,0.0514346,0.412163,0.922037,0.383574,0.0364169,0.0373142
0.51383,0.051373,0.412217,0.922588,0.38357,0.0309304,0.0273706
0.513931,0.0513104,0.412156,0.922885,0.383018,0.0317346,0.0239425
0.513946,0.0512248,0.412122,0.922968,0.383042,0.0304388,0.0219546
0.513944,0.0511997,0.412243,0.923153,0.382438,0.0317671,0.0228134
0.513772,0.0511609,0.412092,0.923991,0.380415,0.0326825,0.0213593
0.513353,0.0508141,0.411917,0.924327,0.379313,0.034048,0.0241215
0.513216,0.050771,0.411474,0.924901,0.378075,0.0339759,0.0214878
0.513089,0.0502989,0.411102,0.923655,0.380753,0.0356743,0.0248147
0.512806,0.0500346,0.411218,0.922685,0.382914,0.0344846,0.0289718
0.512317,0.0501672,0.411008,0.923029,0.382149,0.0346167,0.0279548
0.511374,0.049907,0.410973,0.922347,0.382665,0.0391742,0.0361636
0.510835,0.0499031,0.41044,0.921862,0.383134,0.0426921,0.0394425
0.510906,0.0501936,0.41063,0.922762,0.381431,0.0406478,0.0369786
0.510642,0.0507879,0.410599,0.923007,0.380436,0.0429621,0.0384795
0.510378,0.0504249,0.410861,0.922593,0.382504,0.0391914,0.0312716
0.510184,0.0503809,0.410835,0.923405,0.380711,0.0388957,0.0294782
0.509819,0.0502258,0.41106,0.923931,0.380085,0.033422,0.0277532
0.509899,0.0507357,0.410995,0.924486,0.377963,0.0371795,0.03296
0.509464,0.0502937,0.410963,0.924297,0.378272,0.0372278,0.0346184
0.509299,0.0503216,0.410857,0.924643,0.377505,0.0375765,0.0333691
0.509121,0.0499114,0.411085,0.924614,0.377637,0.0368441,0.0334884
0.509193,0.0495154,0.410284,0.926339,0.374325,0.0352684,0.0230864
0.509561,0.0495186,0.410459,0.927679,0.371932,0.0288671,0.0156288
0.509464,0.049561,0.41052,0.927751,0.37152,0.0303877,0.0180912
0.509273,0.0493526,0.410054,0.92908,0.36864,0.0282114,0.0108858
0.509457,0.0490859,0.410191,0.928271,0.370647,0.0283884,0.0113238
0.509392,0.0486304,0.409592,0.928706,0.368886,0.0340306,0.0164416
0.509371,0.0488595,0.409613,0.92804,0.368819,0.042081,0.0307128
0.50941,0.0489113,0.409614,0.927945,0.368875,0.0426089,0.0321402
0.509567,0.0486526,0.409672,0.928325,0.368231,0.0412051,0.0303546
0.509408,0.0477686,0.409892,0.927639,0.370584,0.0373534,0.0275159
0.509191,0.0476853,0.409935,0.927327,0.371143,0.0374288,0.0302809
0.509373,0.0473267,0.409839,0.926535,0.373444,0.0348698,0.0292516
0.509699,0.0464859,0.409205,0.925876,0.37481,0.0370121,0.030025
0.50973,0.0464269,0.408981,0.925729,0.374154,0.0410057,0.0367759
0.509725,0.0462631,0.409014,0.926056,0.373491,0.04045,0.0358903
