Fx, Fy, Fz, Mx, My, Mz
-2.07588,0.341783,1.30217,-0.292898,-1.13885,-0.171461
-2.03597,0.360015,1.32538,-0.297993,-1.13736,-0.156815
-2.04349,0.325737,1.27153,-0.284193,-1.11808,-0.172713
-2.08572,0.33428,1.28445,-0.293024,-1.13277,-0.175874
-2.06598,0.309985,1.31412,-0.289696,-1.13795,-0.183042
-2.03831,0.325809,1.22915,-0.274067,-1.10301,-0.170509
-2.06877,0.321024,1.31331,-0.289935,-1.13923,-0.180845
-2.072,0.33001,1.24827,-0.288146,-1.11912,-0.178743
-2.06503,0.332039,1.26565,-0.291659,-1.12027,-0.175086
-2.04269,0.33139,1.29071,-0.297149,-1.11896,-0.173103
-2.13479,0.344066,1.32258,-0.30755,-1.15839,-0.18327
-2.07183,0.32399,1.33509,-0.297864,-1.1453,-0.180998
-2.0853,0.349589,1.34188,-0.30282,-1.15333,-0.171255
-2.07427,0.344743,1.30574,-0.29697,-1.13938,-0.17
-2.10278,0.267929,1.32212,-0.272826,-1.15603,-0.201166
-2.10744,0.323301,1.306,-0.29973,-1.14517,-0.185103
-2.05301,0.323965,1.30605,-0.300022,-1.12748,-0.178867
-2.09477,0.334128,1.3411,-0.306893,-1.15161,-0.181195
-2.08872,0.334596,1.28374,-0.295901,-1.13212,-0.180265
-2.0521,0.346692,1.28825,-0.30169,-1.12111,-0.170207
-2.09382,0.361292,1.34522,-0.314516,-1.15448,-0.170769
-2.04304,0.316144,1.30991,-0.292455,-1.12894,-0.177798
-2.12856,0.350758,1.3466,-0.311369,-1.16698,-0.178347
-2.02384,0.34415,1.30121,-0.303402,-1.11839,-0.167384
-2.05419,0.355094,1.32291,-0.297211,-1.14253,-0.163803
-2.03495,0.323656,1.22821,-0.282385,-1.10155,-0.174862
-2.09711,0.322303,1.34259,-0.298214,-1.15904,-0.18365
-2.10361,0.320162,1.31644,-0.290165,-1.1517,-0.181925
-2.09755,0.331302,1.35909,-0.295432,-1.166,-0.177339
-2.05966,0.355349,1.30268,-0.295573,-1.1362,-0.164012
-2.06936,0.326376,1.29724,-0.293562,-1.13046,-0.178998
-2.08636,0.310966,1.35488,-0.293986,-1.15897,-0.186685
-2.05182,0.312966,1.25976,-0.281597,-1.11622,-0.180116
-2.08529,0.291976,1.35449,-0.288001,-1.15875,-0.192052
-2.07432,0.290118,1.32739,-0.283029,-1.14423,-0.192854
-2.09804,0.312941,1.29958,-0.28771,-1.14188,-0.186414
-2.05281,0.326786,1.29736,-0.292272,-1.12699,-0.175103
-2.07708,0.358989,1.29349,-0.296295,-1.13653,-0.163948
