x, y, z, rx, ry, rz, w
0.397207,-0.141986,0.152542,0.998892,-0.0281913,0.0327511,-0.018626
0.397207,-0.141986,0.152542,0.998892,-0.0281913,0.0327511,-0.018626
0.397205,-0.141988,0.15254,0.998892,-0.0281961,0.0327468,-0.0186273
0.397207,-0.141987,0.152541,0.998892,-0.0281912,0.0327478,-0.0186263
0.397207,-0.141989,0.152541,0.998892,-0.0281956,0.0327502,-0.0186255
0.397208,-0.141987,0.152543,0.998892,-0.0281895,0.0327504,-0.0186255
0.397207,-0.141987,0.152541,0.998892,-0.0281858,0.0327485,-0.0186255
0.397208,-0.14199,0.152543,0.998892,-0.0281961,0.0327506,-0.0186257
0.39721,-0.141989,0.152543,0.998892,-0.0281914,0.0327522,-0.0186238
0.397208,-0.141986,0.15254,0.998892,-0.0281946,0.032748,-0.0186269
0.39721,-0.141988,0.152543,0.998892,-0.0281915,0.032751,-0.0186255
0.397211,-0.141984,0.152541,0.998892,-0.0281853,0.032749,-0.0186259
0.397212,-0.141986,0.152542,0.998892,-0.0281882,0.0327506,-0.0186253
0.397211,-0.141986,0.152543,0.998892,-0.0281854,0.0327506,-0.0186247
0.397212,-0.141984,0.15254,0.998893,-0.0281845,0.0327477,-0.018626
0.397213,-0.141984,0.152543,0.998892,-0.0281834,0.032751,-0.0186252
0.397215,-0.141986,0.152544,0.998892,-0.0281868,0.0327534,-0.0186239
0.397212,-0.141986,0.152541,0.998892,-0.0281865,0.0327498,-0.0186248
0.397213,-0.141985,0.152543,0.998892,-0.0281845,0.0327512,-0.0186241
0.397215,-0.141986,0.152543,0.998892,-0.0281867,0.0327535,-0.018624
0.397214,-0.141985,0.152542,0.998892,-0.0281889,0.0327503,-0.0186258
0.397215,-0.141985,0.152543,0.998892,-0.0281862,0.0327517,-0.0186242
0.397217,-0.141987,0.152544,0.998892,-0.0281862,0.0327534,-0.0186236
0.397216,-0.141985,0.152544,0.998892,-0.0281839,0.0327545,-0.0186234
0.397217,-0.141985,0.152544,0.998892,-0.0281828,0.0327542,-0.0186229
0.397218,-0.141986,0.152546,0.998892,-0.0281826,0.0327545,-0.0186228
0.397219,-0.141985,0.152546,0.998892,-0.0281848,0.0327561,-0.0186236
0.397217,-0.141985,0.152545,0.998892,-0.0281839,0.032754,-0.018624
0.397219,-0.141986,0.152546,0.998892,-0.0281846,0.032755,-0.018623
0.397221,-0.141984,0.152548,0.998892,-0.028184,0.0327572,-0.0186233
