Fx, Fy, Fz, Mx, My, Mz
-2.45482,8.8941,1.47894,-3.2497,-2.07852,4.14768
-2.66296,9.36685,1.45385,-3.43767,-2.15291,4.37395
-2.80256,10.1228,1.50275,-3.73806,-2.23602,4.7304
-2.32755,10.7254,1.58112,-3.93878,-2.04764,5.00626
-2.21103,11.4505,1.6329,-4.1863,-2.04048,5.34366
-2.48963,12.1465,1.595,-4.42496,-2.19494,5.65914
-2.05175,12.6002,1.40354,-4.5683,-1.9409,5.86126
-2.30994,12.6955,1.42883,-4.58216,-2.07235,5.91832
-2.5098,12.4677,1.32144,-4.49557,-2.11841,5.82112
-2.76607,11.2687,1.46776,-4.02007,-2.29064,5.27096
-2.82226,8.69473,1.29947,-3.04135,-2.2488,4.05706
-2.72551,5.6732,0.92021,-1.95174,-2.07186,2.63577
-3.10549,3.32409,0.404393,-1.23275,-2.05639,1.504
-3.06016,1.57862,-0.209399,-0.6812,-1.79381,0.655491
-2.51523,1.07386,-0.625205,-0.549976,-1.39074,0.373608
-2.5391,1.11327,-0.65213,-0.616563,-1.399,0.37128
-2.57838,1.09929,-0.650525,-0.646316,-1.41056,0.376434
-2.59888,0.9483,-0.650907,-0.57313,-1.41503,0.375885
-2.56836,0.769443,-0.58872,-0.467044,-1.42171,0.34663
-2.57891,0.772352,-0.599157,-0.45662,-1.42171,0.36157
-2.59401,0.722968,-0.554215,-0.42959,-1.44827,0.346273
-2.61612,0.725328,-0.597725,-0.425811,-1.43835,0.349433
-2.56497,0.674882,-0.61782,-0.411246,-1.40392,0.322511
-2.65773,0.668283,-0.549531,-0.404832,-1.47017,0.326321
-2.58635,0.688577,-0.516011,-0.414366,-1.44972,0.332098
-2.59444,0.641731,-0.511655,-0.400104,-1.45294,0.310647
-2.55047,0.731855,-0.592211,-0.438148,-1.39963,0.347068
-2.6177,0.658952,-0.514945,-0.398933,-1.46336,0.320884
-2.56525,0.698636,-0.631752,-0.417042,-1.39225,0.335865
-2.63466,0.687358,-0.530245,-0.410756,-1.45753,0.330453
-2.60965,0.700017,-0.554631,-0.419524,-1.43586,0.332834
-2.6198,0.680733,-0.549267,-0.408993,-1.44413,0.326219
-2.62663,0.681111,-0.572686,-0.403333,-1.43834,0.327809
-2.63687,0.674926,-0.522701,-0.400594,-1.46357,0.326392
-2.61627,0.69949,-0.5638,-0.414531,-1.43754,0.336346
-2.60378,0.678054,-0.581417,-0.400108,-1.42182,0.330985
-2.61446,0.684221,-0.560521,-0.409544,-1.43586,0.331961
-2.58055,0.680072,-0.518344,-0.401246,-1.43651,0.330005
-2.61282,0.675293,-0.642795,-0.402634,-1.40029,0.327915
-2.62743,0.672251,-0.52859,-0.398259,-1.44983,0.324274
-2.54187,0.686664,-0.536333,-0.407451,-1.40968,0.331328
-2.65057,0.644037,-0.560731,-0.386532,-1.44942,0.319001
-2.63738,0.725664,-0.51657,-0.413765,-1.45999,0.356197
-2.66064,0.655259,-0.542555,-0.391187,-1.46216,0.323221
-2.62725,0.638435,-0.55246,-0.384806,-1.45009,0.312455
-2.60204,0.714833,-0.616443,-0.419166,-1.41435,0.34756
-2.63066,0.657779,-0.535654,-0.389771,-1.45263,0.322947
-2.66871,0.666178,-0.518914,-0.39445,-1.47185,0.327489
-2.60517,0.688376,-0.541722,-0.402232,-1.43017,0.3362
-2.65927,0.667521,-0.515378,-0.396324,-1.45837,0.328603
-2.61134,0.670474,-0.533426,-0.398757,-1.42874,0.329718
-2.66152,0.646338,-0.480588,-0.385592,-1.47293,0.319503
-2.63877,0.74324,-0.587559,-0.428639,-1.41928,0.358529
-2.69937,0.685411,-0.500515,-0.401323,-1.48038,0.33656
-2.61023,0.713563,-0.576329,-0.416092,-1.4089,0.346415
-2.73044,0.639106,-0.503811,-0.385429,-1.49005,0.315612
-2.66867,0.665102,-0.512749,-0.397936,-1.45856,0.323997
-2.63135,0.672236,-0.542048,-0.40357,-1.43118,0.324625
-2.63732,0.693119,-0.513359,-0.409234,-1.44116,0.334688
-2.66316,0.677423,-0.491628,-0.404883,-1.46293,0.328633
-2.6153,0.672843,-0.542425,-0.404921,-1.42198,0.328576
-2.64852,0.668034,-0.48332,-0.39446,-1.45341,0.325961
-2.67366,0.670052,-0.491657,-0.393841,-1.46359,0.329091
-2.65099,0.665095,-0.521756,-0.39814,-1.44788,0.322491
-2.62753,0.695277,-0.586867,-0.409337,-1.41194,0.339667
-2.67406,0.678329,-0.542041,-0.396307,-1.44997,0.33429
-2.65343,0.63837,-0.49626,-0.377846,-1.45517,0.315692
-2.6451,0.70371,-0.495341,-0.407619,-1.45285,0.343026
-2.65025,0.653637,-0.533579,-0.392684,-1.44214,0.32186
-2.65981,0.650139,-0.520416,-0.389912,-1.44843,0.319205
-2.67916,0.67877,-0.591085,-0.403784,-1.42563,0.332181
-2.65615,0.681614,-0.476903,-0.398602,-1.45762,0.332763
-2.627,0.638319,-0.548339,-0.383449,-1.42347,0.313866
-2.66007,0.65812,-0.532955,-0.39251,-1.4411,0.320891
-2.64547,0.648742,-0.50334,-0.386513,-1.44273,0.316683
-2.64429,0.686453,-0.50089,-0.405744,-1.45058,0.332469
-2.60004,0.694862,-0.542853,-0.408401,-1.41394,0.338298
-2.64335,0.65134,-0.47898,-0.388739,-1.4586,0.319791
-2.60168,0.667718,-0.577573,-0.3964,-1.40443,0.326008
-2.61216,0.645193,-0.498777,-0.382361,-1.43845,0.316597
-2.64262,0.665609,-0.494316,-0.390734,-1.45247,0.327232
-2.6464,0.680419,-0.484434,-0.398833,-1.45432,0.333679
