x, y, z, rx, ry, rz, w
0.450669,0.0218741,0.247233,0.99994,-0.00430045,-0.00822573,-0.00579838
0.450669,0.0218741,0.247233,0.99994,-0.00430045,-0.00822573,-0.00579838
0.450706,0.0211366,0.247246,0.999937,-0.00482111,-0.00821092,-0.00591202
0.450749,0.0202778,0.247268,0.999933,-0.00549058,-0.00818552,-0.00607031
0.450778,0.0193905,0.247279,0.999928,-0.00612355,-0.00817356,-0.00625021
0.450725,0.0185258,0.247187,0.999923,-0.00667765,-0.00821708,-0.0064197
0.450612,0.017627,0.246992,0.999919,-0.00713913,-0.00826005,-0.0065925
0.450495,0.0166416,0.246783,0.999915,-0.00747944,-0.00827448,-0.00678768
0.450376,0.0159571,0.246567,0.999912,-0.0076792,-0.00828802,-0.00692543
0.450327,0.015767,0.246463,0.999911,-0.00780814,-0.00826839,-0.0069604
0.450243,0.0158737,0.246291,0.999913,-0.00766547,-0.00821565,-0.00694781
0.45018,0.016783,0.246168,0.999921,-0.00665705,-0.00819157,-0.00684917
0.450156,0.018885,0.246078,0.999933,-0.00487858,-0.00815935,-0.00661472
0.450081,0.0216776,0.24607,0.999943,-0.00318506,-0.00811286,-0.00623798
0.450006,0.0248207,0.246104,0.999951,-0.00144002,-0.00802916,-0.00567666
0.449908,0.0272928,0.246112,0.999955,3.0726e-05,-0.00794902,-0.00514697
0.449853,0.0286982,0.246081,0.999956,0.00114508,-0.00790186,-0.0048495
0.449828,0.0293945,0.246071,0.999956,0.0019337,-0.00786484,-0.00469845
0.449834,0.0295647,0.246072,0.999956,0.00213356,-0.00782764,-0.00465702
0.44985,0.0295519,0.246079,0.999957,0.00212629,-0.00779314,-0.00465701
0.449868,0.0295473,0.246085,0.999957,0.00211972,-0.00775564,-0.00465733
0.449887,0.0295461,0.246095,0.999957,0.00211753,-0.00770887,-0.00465887
0.4499,0.029545,0.246099,0.999957,0.0021169,-0.00768009,-0.0046595
0.449904,0.0295457,0.246102,0.999957,0.00211388,-0.00767153,-0.00465961
0.449913,0.0295456,0.246107,0.999958,0.0021184,-0.00764909,-0.00465774
0.44992,0.0295427,0.246108,0.999958,0.00211204,-0.00763312,-0.00465943
0.44993,0.0295429,0.246114,0.999958,0.00211024,-0.0076091,-0.00466013
0.449936,0.0295439,0.246116,0.999958,0.00211651,-0.00759568,-0.00465794
0.449946,0.0295433,0.24612,0.999958,0.00211344,-0.00757407,-0.0046596
0.449953,0.0295451,0.246122,0.999958,0.00211644,-0.00755709,-0.00466023
0.449958,0.0295449,0.246126,0.999958,0.00211429,-0.00754361,-0.00466048
0.449962,0.029544,0.246124,0.999959,0.00211487,-0.007536,-0.0046605
0.449969,0.0295426,0.246129,0.999959,0.00211458,-0.00751988,-0.00465916
0.449973,0.0295409,0.246128,0.999959,0.00210993,-0.00751087,-0.00466107
0.44998,0.0295447,0.246134,0.999959,0.00211416,-0.00749395,-0.00466235
0.449984,0.0295413,0.246134,0.999959,0.00210889,-0.00748735,-0.00466227
0.449989,0.029542,0.246138,0.999959,0.00211226,-0.00747408,-0.00466188
0.449991,0.0295423,0.246138,0.999959,0.00211242,-0.00746657,-0.00466126
0.449996,0.0295405,0.24614,0.999959,0.00210678,-0.00745798,-0.00466184
0.45,0.0295417,0.246142,0.999959,0.00210995,-0.0074457,-0.00466199
0.450003,0.029543,0.24614,0.999959,0.00211174,-0.00744027,-0.00466143
0.450009,0.0295404,0.246149,0.999959,0.00211316,-0.00742546,-0.00466114
0.450012,0.0295446,0.246146,0.999959,0.00211481,-0.00742161,-0.0046609
0.450017,0.0295391,0.246149,0.999959,0.00210655,-0.00741035,-0.00466388
0.450016,0.0295411,0.246148,0.999959,0.00210604,-0.00740885,-0.00466289
0.450026,0.0295424,0.246155,0.99996,0.00210768,-0.00738622,-0.00466462
0.450032,0.0295407,0.246156,0.99996,0.00210712,-0.00737378,-0.00466207
0.450032,0.0295401,0.246156,0.99996,0.00210876,-0.00737164,-0.00466269
0.450033,0.0295406,0.246154,0.99996,0.00210621,-0.00736977,-0.00466378
0.450038,0.0295411,0.246158,0.99996,0.00211054,-0.0073605,-0.00466323
