x, y, z, rx, ry, rz, w
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
0.450076,0.0295422,0.246175,0.99996,0.00210772,-0.00726861,-0.0046658
