Fx, Fy, Fz, Mx, My, Mz
-1.01962,0.189041,0.512006,-0.165503,-0.76837,0.113193
-1.11071,0.242897,0.531515,-0.199854,-0.835634,0.137628
-1.06199,0.215627,0.521798,-0.184793,-0.797833,0.125215
-1.10344,0.218628,0.500927,-0.183344,-0.82127,0.122536
-1.046,0.190782,0.537557,-0.167705,-0.793515,0.103588
-1.05772,0.222792,0.539928,-0.187753,-0.801083,0.11477
-1.09966,0.215049,0.521112,-0.186487,-0.824296,0.110923
-1.06126,0.207488,0.529222,-0.17883,-0.802092,0.117454
-1.07003,0.251068,0.486661,-0.20802,-0.793104,0.134273
-1.0707,0.197366,0.536296,-0.166717,-0.810877,0.117422
-1.07368,0.163389,0.54908,-0.148063,-0.816263,0.101884
-1.07177,0.195621,0.493452,-0.172899,-0.796655,0.111357
-1.03823,0.184419,0.504104,-0.163923,-0.77731,0.107657
-1.05081,0.211287,0.520484,-0.181513,-0.792512,0.116436
-1.06532,0.170418,0.528212,-0.155525,-0.803257,0.101927
-1.05247,0.164648,0.523129,-0.151794,-0.794228,0.100752
-1.06133,0.189431,0.533876,-0.16326,-0.805744,0.111933
-1.05743,0.205398,0.503919,-0.177347,-0.791169,0.11742
-1.08325,0.191097,0.496038,-0.169264,-0.807433,0.110626
-1.10115,0.183149,0.516955,-0.160608,-0.826114,0.109627
-1.05467,0.232299,0.504987,-0.196475,-0.788989,0.125547
-1.10421,0.214062,0.480709,-0.186309,-0.816075,0.119666
-1.09541,0.220389,0.530865,-0.186773,-0.825936,0.123256
-1.06038,0.232116,0.530677,-0.194937,-0.802914,0.129705
-1.12706,0.220937,0.517187,-0.187584,-0.844749,0.127885
-1.09356,0.209756,0.486314,-0.184222,-0.812163,0.11898
-1.0994,0.202779,0.484882,-0.177275,-0.81499,0.118691
-1.11524,0.175767,0.517645,-0.156343,-0.83631,0.108794
-1.09255,0.201505,0.477297,-0.176619,-0.807348,0.117774
-1.14906,0.165211,0.516303,-0.148506,-0.85999,0.107028
-1.17131,0.195341,0.543246,-0.168048,-0.884036,0.114428
-1.08088,0.208961,0.512364,-0.180039,-0.810533,0.11768
-1.14975,0.191819,0.484582,-0.170522,-0.849133,0.111934
-1.10244,0.229395,0.516833,-0.192734,-0.828544,0.126257
-1.06567,0.222528,0.508106,-0.187246,-0.798779,0.123592
-1.11878,0.199813,0.499741,-0.1707,-0.83274,0.116703
-1.14174,0.200798,0.503918,-0.170104,-0.850701,0.117985
-1.11316,0.216984,0.483963,-0.184681,-0.823507,0.124524
-1.17187,0.249737,0.530327,-0.203899,-0.878891,0.136747
-1.09725,0.217172,0.537451,-0.183639,-0.83067,0.121295
-1.1281,0.196088,0.50168,-0.172617,-0.839574,0.112996
-1.14423,0.204413,0.568535,-0.175133,-0.873816,0.119034
