x, y, z, rx, ry, rz, w
0.382109,0.0450587,0.480762,0.999537,-0.00797638,0.0286377,-0.00644269
0.382109,0.0450587,0.480762,0.999537,-0.00797638,0.0286377,-0.00644269
0.382107,0.045059,0.480756,0.999538,-0.00797531,0.0286295,-0.00644046
0.382107,0.045059,0.480759,0.999537,-0.00797244,0.0286327,-0.00644184
0.382106,0.0450611,0.48076,0.999537,-0.00797135,0.0286339,-0.00643944
0.382108,0.0450599,0.48076,0.999537,-0.00797415,0.0286349,-0.00644148
0.382108,0.0450601,0.480759,0.999537,-0.00797312,0.0286334,-0.00644194
0.382108,0.045059,0.48076,0.999537,-0.00797403,0.0286338,-0.0064402
0.382107,0.045059,0.480759,0.999537,-0.00797316,0.0286333,-0.00644162
0.382107,0.0450616,0.480758,0.999537,-0.00797145,0.0286328,-0.00644018
0.382107,0.04506,0.480758,0.999537,-0.0079743,0.028631,-0.00644171
0.382107,0.0450593,0.480758,0.999538,-0.00797273,0.0286302,-0.00644003
0.382106,0.0450604,0.480757,0.999538,-0.00797174,0.0286299,-0.00644029
0.382107,0.0450616,0.480758,0.999537,-0.00797499,0.028632,-0.00644289
0.382107,0.04506,0.480757,0.999537,-0.00797219,0.0286322,-0.00643913
0.382107,0.0450584,0.480757,0.999537,-0.00797284,0.0286315,-0.00643948
0.382107,0.0450594,0.480759,0.999537,-0.00797534,0.0286335,-0.00643976
0.382107,0.0450602,0.480756,0.999538,-0.00797331,0.0286296,-0.00643962
0.382106,0.0450586,0.480758,0.999537,-0.00797462,0.0286324,-0.00644066
0.382107,0.0450592,0.480759,0.999537,-0.00797497,0.0286326,-0.0064423
0.382108,0.0450573,0.480758,0.999537,-0.0079758,0.0286328,-0.00644006
0.382107,0.0450606,0.480758,0.999538,-0.00797151,0.028631,-0.00644149
0.382108,0.0450569,0.48076,0.999537,-0.00797649,0.0286344,-0.00644187
0.382107,0.0450592,0.48076,0.999537,-0.00797459,0.0286347,-0.00644131
0.382107,0.0450591,0.480759,0.999537,-0.00797316,0.0286328,-0.00644028
0.382107,0.0450608,0.480757,0.999538,-0.00797319,0.0286296,-0.0064394
0.382108,0.045058,0.480759,0.999537,-0.00797415,0.0286326,-0.00643941
0.382107,0.0450599,0.480759,0.999537,-0.00797458,0.0286324,-0.00644219
0.382107,0.04506,0.480757,0.999538,-0.00797318,0.0286296,-0.00644063
0.382108,0.0450594,0.480759,0.999537,-0.00797357,0.0286325,-0.00644151
0.382107,0.0450588,0.480757,0.999537,-0.00797279,0.0286315,-0.00644174
0.382108,0.0450612,0.48076,0.999537,-0.00797014,0.028632,-0.00644167
0.382107,0.0450587,0.480756,0.999538,-0.00797297,0.0286296,-0.00644231
0.382108,0.0450585,0.480755,0.999538,-0.00797226,0.0286283,-0.00644251
0.382108,0.0450608,0.480758,0.999537,-0.00797356,0.0286318,-0.00644097
0.382107,0.0450585,0.480757,0.999538,-0.00797364,0.0286301,-0.00643919
0.382108,0.0450576,0.480757,0.999537,-0.00797681,0.0286302,-0.00644363
0.382108,0.0450602,0.480759,0.999537,-0.00797174,0.0286336,-0.00644169
0.382107,0.0450589,0.480756,0.999538,-0.00797351,0.0286302,-0.00644091
0.382107,0.0450598,0.480755,0.999538,-0.00797378,0.0286288,-0.00644142
0.382109,0.0450583,0.480756,0.999538,-0.00797405,0.0286298,-0.00644019
0.382108,0.0450591,0.480759,0.999537,-0.0079714,0.0286337,-0.00643773
0.382108,0.0450598,0.480757,0.999537,-0.00797635,0.028631,-0.00644084
0.382109,0.0450584,0.480757,0.999537,-0.0079748,0.0286319,-0.00643893
0.382107,0.0450592,0.480757,0.999538,-0.00797226,0.0286305,-0.00644169
0.382108,0.0450602,0.480757,0.999538,-0.00797111,0.0286314,-0.0064382
0.382107,0.0450574,0.480758,0.999537,-0.00797446,0.0286314,-0.00644082
0.382108,0.0450577,0.480757,0.999537,-0.00797696,0.0286316,-0.00644174
0.382108,0.0450593,0.480757,0.999538,-0.00797419,0.0286301,-0.00644168
0.382107,0.0450597,0.480753,0.999538,-0.00797294,0.0286243,-0.00644109
0.382107,0.0450581,0.480755,0.999538,-0.00797434,0.028628,-0.00643944
0.382132,0.0447643,0.480799,0.999533,-0.00830281,0.0286758,-0.00656791
0.382422,0.0437476,0.480707,0.999518,-0.00947834,0.0287006,-0.00711621
0.384269,0.0429103,0.480062,0.99945,-0.0118159,0.0300011,-0.00768606
0.388172,0.0424629,0.478869,0.999267,-0.0176337,0.0329263,-0.00839437
0.393952,0.0423699,0.47745,0.998891,-0.0266001,0.0376663,-0.00955938
0.401336,0.0421685,0.475732,0.998273,-0.03766,0.0436815,-0.0111694
0.409872,0.0413251,0.473906,0.997311,-0.0511842,0.0507478,-0.0132394
0.420393,0.038495,0.472719,0.995723,-0.0683538,0.059991,-0.0162567
0.4299,0.0325339,0.473172,0.994089,-0.0823375,0.068,-0.0195998
0.43389,0.0268581,0.473627,0.993412,-0.0882735,0.069835,-0.0215218
0.437374,0.0152821,0.474878,0.992525,-0.0975398,0.0690637,-0.0247203
0.437941,0.00190303,0.477684,0.991733,-0.10503,0.0682105,-0.027968
0.436032,-0.0121202,0.480756,0.991446,-0.10744,0.0672457,-0.0311431
0.433165,-0.0294159,0.484405,0.992194,-0.0984334,0.0683634,-0.0344852
0.42925,-0.0512552,0.488824,0.993992,-0.0734757,0.072043,-0.0373025
0.42457,-0.0736381,0.493365,0.995287,-0.0423004,0.0779241,-0.0392746
0.418746,-0.0976195,0.497379,0.995507,-0.00807445,0.0850692,-0.0407903
0.412426,-0.123298,0.500272,0.994365,0.0267724,0.0939637,-0.0411297
0.406448,-0.146158,0.5011,0.992531,0.0547327,0.101047,-0.0409459
0.400706,-0.168251,0.499721,0.990366,0.078292,0.10668,-0.0408066
0.395995,-0.187929,0.49567,0.988543,0.0949448,0.109834,-0.0412945
0.393771,-0.198286,0.491918,0.987904,0.100593,0.11016,-0.0423188
0.391238,-0.213079,0.483011,0.987694,0.104335,0.10709,-0.0459087
0.390811,-0.222931,0.4722,0.988507,0.101164,0.0999641,-0.0512451
0.392928,-0.229324,0.459094,0.989881,0.0947473,0.0889523,-0.0569718
0.398,-0.232291,0.445197,0.99102,0.0913692,0.0762599,-0.0609554
0.404553,-0.232351,0.433177,0.991794,0.0905981,0.0640124,-0.0635512
0.41254,-0.229996,0.421547,0.992481,0.0898324,0.0506237,-0.0659478
0.421343,-0.225562,0.412012,0.993134,0.0875753,0.0380531,-0.0675852
0.431459,-0.219442,0.404651,0.99398,0.0817806,0.0270302,-0.0677081
0.441781,-0.2124,0.40069,0.995037,0.0716493,0.0192698,-0.0663024
0.448085,-0.207466,0.399432,0.995778,0.0629188,0.0156322,-0.0649865
0.459471,-0.197563,0.400044,0.997157,0.0416088,0.0118498,-0.0617022
0.470042,-0.186142,0.402947,0.998147,0.0153404,0.0102931,-0.0579797
0.480386,-0.171245,0.407765,0.998337,-0.0172414,0.00993255,-0.0541044
0.487915,-0.156453,0.412808,0.997614,-0.045275,0.0105718,-0.0510299
0.493574,-0.138732,0.417289,0.996127,-0.0726887,0.00955637,-0.0485475
0.49666,-0.11952,0.420061,0.994318,-0.0955632,0.00583681,-0.0465432
0.49623,-0.0994842,0.421267,0.992548,-0.113211,-0.00351136,-0.0449374
0.492133,-0.0786869,0.421616,0.990977,-0.125621,-0.0187213,-0.0428179
0.488175,-0.0667183,0.421929,0.990196,-0.130224,-0.0294956,-0.0410296
0.47821,-0.044374,0.423635,0.989052,-0.13334,-0.0518248,-0.0361953
0.466809,-0.0235626,0.42753,0.988372,-0.130776,-0.0716282,-0.0298001
0.455469,-0.00397396,0.433629,0.988172,-0.125029,-0.0859321,-0.0223359
0.445516,0.0132285,0.441061,0.98847,-0.11847,-0.0932052,-0.0143131
0.435186,0.0307181,0.45017,0.989259,-0.110321,-0.095755,-0.00524895
0.425166,0.0472411,0.459403,0.990203,-0.102488,-0.0947592,0.00382237
0.414524,0.063655,0.467959,0.991002,-0.0953932,-0.0930099,0.0127882
0.406752,0.0745741,0.472731,0.991329,-0.0915835,-0.0923164,0.0188817
0.393261,0.0921069,0.478159,0.991448,-0.087088,-0.093057,0.0280655
0.37957,0.110635,0.480469,0.991361,-0.0843387,-0.0940608,0.0352628
0.36698,0.129055,0.479502,0.991348,-0.0822353,-0.0943296,0.0396053
0.354158,0.149001,0.475082,0.991345,-0.0806614,-0.0951165,0.0410168
0.341174,0.168794,0.467188,0.991107,-0.0793765,-0.0990094,0.040037
0.330158,0.186519,0.457157,0.990883,-0.0781816,-0.102634,0.0387934
0.322136,0.202499,0.445415,0.991079,-0.0759199,-0.102653,0.0382175
0.317309,0.214904,0.433561,0.991635,-0.0721153,-0.0996609,0.0390907
0.313819,0.225821,0.419421,0.992345,-0.0666317,-0.0950674,0.042112
0.311255,0.234159,0.403766,0.992959,-0.0610346,-0.0893759,0.0481657
0.30994,0.23838,0.393572,0.993263,-0.0579526,-0.0859064,0.0518679
0.308105,0.244562,0.375673,0.993761,-0.0528404,-0.0796821,0.0574345
0.307056,0.249884,0.357006,0.994344,-0.0477569,-0.072065,0.061689
0.307049,0.255178,0.336681,0.995214,-0.0409444,-0.0617333,0.0637334
0.30772,0.259917,0.318504,0.996144,-0.0328882,-0.0511975,0.0632032
0.307522,0.264118,0.299694,0.996866,-0.0241125,-0.0428925,0.0619465
0.306207,0.267562,0.282096,0.997324,-0.0158087,-0.0381678,0.0603211
0.30439,0.27057,0.265987,0.997651,-0.0082047,-0.0357369,0.0578644
0.303398,0.272599,0.256534,0.997869,-0.00365338,-0.0343003,0.0553782
0.302245,0.27653,0.239876,0.998319,0.00393264,-0.0315262,0.0484704
0.302581,0.280656,0.22601,0.998819,0.0093182,-0.0279747,0.0386242
0.304709,0.284535,0.214764,0.999292,0.0119859,-0.0237824,0.0265844
0.308931,0.288309,0.205388,0.999675,0.0123898,-0.0185298,0.0123434
0.315418,0.291824,0.198412,0.999865,0.0112029,-0.0116688,-0.00293997
0.320152,0.293655,0.195258,0.999849,0.00961546,-0.00732371,-0.0124608
0.329569,0.295896,0.191041,0.999563,0.00505428,0.000373628,-0.0291081
0.340275,0.29618,0.187689,0.998956,-9.70336e-05,0.00853607,-0.044881
0.351597,0.294012,0.184894,0.998142,-0.00485814,0.0161945,-0.0585441
0.364664,0.2885,0.181968,0.997174,-0.00694998,0.0239701,-0.0708546
0.377606,0.280521,0.179108,0.996283,-0.00531522,0.0308517,-0.0802556
0.391239,0.269566,0.175973,0.99546,-0.00012803,0.0373388,-0.0875464
0.403863,0.256811,0.17247,0.994817,0.00775733,0.042259,-0.0921589
0.415617,0.241299,0.167629,0.994333,0.0200944,0.0444229,-0.094472
0.425519,0.224494,0.162001,0.993868,0.0355796,0.044292,-0.0948634
0.435016,0.205266,0.155619,0.993045,0.0552653,0.043812,-0.0942794
0.440471,0.193354,0.151931,0.992282,0.0683141,0.0440283,-0.0936569
0.450598,0.170645,0.1458,0.990278,0.093515,0.0462323,-0.0920151
0.461573,0.145784,0.140639,0.987303,0.121073,0.0511179,-0.0892204
0.472791,0.119871,0.13692,0.983431,0.149137,0.0585438,-0.0848208
0.483993,0.0945358,0.13535,0.979114,0.174571,0.0685096,-0.0785351
0.494692,0.0684781,0.135328,0.974392,0.198468,0.0789431,-0.0702783
0.500583,0.0533997,0.135974,0.971461,0.211819,0.084754,-0.0649049
0.509644,0.0265583,0.137629,0.965945,0.234971,0.0935491,-0.0546611
0.519751,-0.0112942,0.140455,0.95745,0.266675,0.103183,-0.0390672
0.52309,-0.0272588,0.14169,0.953671,0.279541,0.106483,-0.0320808
0.527436,-0.0546619,0.143595,0.947037,0.300731,0.110856,-0.0198293
0.530918,-0.0806895,0.146045,0.941064,0.318201,0.114401,-0.00770441
0.533873,-0.103703,0.149156,0.937099,0.328723,0.117375,0.00318051
0.535807,-0.123747,0.152369,0.93535,0.332757,0.119352,0.0122067
0.536977,-0.144919,0.156155,0.935434,0.331406,0.12115,0.0213453
0.536101,-0.164362,0.158994,0.937281,0.325385,0.121664,0.0287545
0.533631,-0.184074,0.161751,0.9409,0.314133,0.12156,0.0353662
0.529346,-0.202745,0.164054,0.945542,0.299683,0.12044,0.0404296
0.524223,-0.220041,0.165986,0.949797,0.285966,0.118783,0.0447281
0.521584,-0.228552,0.167104,0.95179,0.279199,0.118053,0.0469851
0.517479,-0.242869,0.169993,0.954882,0.267956,0.117382,0.0511933
0.514718,-0.253253,0.173881,0.957262,0.259401,0.116582,0.0526233
