Fx, Fy, Fz, Mx, My, Mz
-0.751781,0.291546,-0.379481,-0.479215,-0.693882,0.235955
-0.722833,0.232834,-0.40129,-0.427853,-0.659198,0.206925
-0.735691,0.271833,-0.418351,-0.464854,-0.664569,0.227955
-0.719999,0.243301,-0.375466,-0.435673,-0.666815,0.211379
-0.660079,0.147426,-0.436411,-0.366147,-0.595097,0.166123
-0.859796,-0.613266,-0.639112,0.202738,-0.702522,-0.170707
-0.454881,-0.117726,-0.765023,-0.219221,-0.320971,0.0231408
-0.0517733,0.474341,-0.604582,-0.735586,-0.038825,0.26711
-0.386517,-0.238443,-0.708681,-0.138721,-0.286212,-0.035722
-0.262983,-0.237143,-0.733275,-0.123457,-0.170156,-0.0473751
-0.303098,-0.013395,-0.698895,-0.317579,-0.211516,0.0623341
-0.39233,-0.0209186,-0.812668,-0.325794,-0.231521,0.0656652
-0.388137,-0.0782137,-0.909433,-0.280672,-0.181192,0.0364716
-0.306365,0.00700503,-0.892806,-0.352926,-0.114026,0.0723487
-0.335332,0.322732,-0.721418,-0.625144,-0.197324,0.227896
-0.392696,0.24468,-0.676901,-0.555125,-0.257119,0.205585
-0.636657,0.300239,-0.718929,-0.602231,-0.448743,0.24507
-0.531599,0.227578,-0.716024,-0.535928,-0.366707,0.200472
-0.446406,0.208979,-0.641413,-0.50943,-0.358905,0.181999
-0.292253,0.118276,-0.476008,-0.406328,-0.328869,0.133261
-0.216003,0.422263,-0.48477,-0.684168,-0.23769,0.289478
-0.269834,0.229261,-0.525696,-0.5218,-0.253133,0.201239
-0.346714,0.194761,-0.545425,-0.488936,-0.3047,0.186041
-0.465929,0.167725,-0.74297,-0.479608,-0.30598,0.181644
-0.417214,0.00631571,-1.08584,-0.366029,-0.10023,0.0971551
-0.553059,-0.0677328,-0.9872,-0.284548,-0.267463,0.0740869
-0.564585,-0.0250254,-0.733653,-0.312309,-0.373814,0.0941761
-0.76913,-0.0834114,-0.736454,-0.255964,-0.547012,0.0817207
-0.802881,-0.0648138,-0.650936,-0.261218,-0.611384,0.0964686
