x, y, z, rx, ry, rz, w
0.45604,0.0826931,0.669105,0.709192,0.704961,-0.00762736,-0.00434005
0.45604,0.0826931,0.669105,0.709192,0.704961,-0.00762736,-0.00434005
0.45604,0.0826917,0.669102,0.709192,0.704961,-0.00763053,-0.00434547
0.456039,0.0826955,0.669104,0.709189,0.704964,-0.00762978,-0.0043418
0.456039,0.0826958,0.669103,0.70919,0.704963,-0.00762835,-0.00434514
0.456037,0.0827061,0.669101,0.709183,0.70497,-0.00762817,-0.00435478
0.45601,0.0828436,0.669115,0.709084,0.705069,-0.00760726,-0.00434707
0.455979,0.0829236,0.66913,0.70903,0.705124,-0.00761191,-0.00432613
0.456004,0.0827738,0.669132,0.709139,0.705014,-0.00760398,-0.00433886
0.456012,0.0827883,0.669111,0.709126,0.705027,-0.00761987,-0.00436005
0.455982,0.0828596,0.669139,0.709079,0.705075,-0.00760603,-0.00432683
0.455997,0.0828349,0.669126,0.709096,0.705057,-0.00761166,-0.00433996
0.455993,0.0828392,0.669134,0.709091,0.705063,-0.00760525,-0.00433258
0.455982,0.0828587,0.669146,0.709082,0.705072,-0.00759638,-0.0043204
0.455998,0.0828205,0.669132,0.709106,0.705048,-0.00760413,-0.00433674
0.456009,0.0827484,0.669136,0.709161,0.704993,-0.00759849,-0.00433657
0.456019,0.0827084,0.66913,0.709187,0.704966,-0.00759981,-0.00434569
0.456031,0.0826665,0.669121,0.709217,0.704936,-0.00760371,-0.00435658
0.45603,0.0826358,0.669132,0.709241,0.704912,-0.00759503,-0.00435118
0.456027,0.082637,0.669124,0.709238,0.704914,-0.00760884,-0.00435931
0.456021,0.0826449,0.669114,0.709235,0.704917,-0.0076258,-0.00437596
0.456027,0.0825875,0.669129,0.709279,0.704874,-0.00761143,-0.00436392
0.456037,0.0825439,0.669125,0.70931,0.704842,-0.00761098,-0.00437242
0.456039,0.0825454,0.669121,0.709308,0.704844,-0.00761392,-0.00437588
0.45603,0.0825521,0.669148,0.709308,0.704844,-0.00758871,-0.00434916
0.456027,0.0825664,0.669154,0.709298,0.704855,-0.00758212,-0.00434414
0.456031,0.0825639,0.669135,0.709298,0.704854,-0.00760102,-0.00436128
0.45604,0.0825529,0.669127,0.709304,0.704848,-0.00760188,-0.00436988
0.456037,0.0825666,0.669125,0.709292,0.704861,-0.00760729,-0.00436872
0.456039,0.0825501,0.669127,0.709308,0.704845,-0.00760478,-0.00437087
0.456048,0.0825291,0.669114,0.709319,0.704833,-0.00761386,-0.00438413
0.45605,0.0825343,0.669108,0.709314,0.704838,-0.0076187,-0.00438638
0.456048,0.0825352,0.669109,0.709315,0.704837,-0.00761915,-0.00438727
0.456053,0.082528,0.6691,0.709319,0.704832,-0.00762704,-0.0043968
0.456046,0.0825356,0.669114,0.709313,0.704838,-0.00761491,-0.00438265
0.456041,0.0825442,0.669113,0.70931,0.704842,-0.00761989,-0.00438493
0.456051,0.0825401,0.66906,0.70931,0.704841,-0.00767032,-0.00443388
0.456044,0.082559,0.668887,0.709294,0.704854,-0.00785478,-0.00456934
0.456043,0.0825184,0.668753,0.709323,0.704823,-0.00800468,-0.00468289
0.455911,0.0822532,0.668501,0.709499,0.704636,-0.0085152,-0.00508675
0.45595,0.0814526,0.668465,0.710164,0.703964,-0.00865098,-0.00522994
0.456034,0.0794932,0.668525,0.712151,0.70195,-0.00881891,-0.005451
0.455753,0.0759755,0.668472,0.715496,0.698518,-0.00987811,-0.00641488
0.454621,0.0697929,0.668373,0.721681,0.69206,-0.0124723,-0.00860494
0.45174,0.0616848,0.668008,0.729466,0.683662,-0.0178573,-0.0129272
0.447377,0.0514285,0.667437,0.738927,0.673029,-0.0254741,-0.019231
0.441833,0.0397134,0.666575,0.749156,0.660909,-0.0348111,-0.0274236
0.435388,0.0269285,0.665538,0.760132,0.647133,-0.045196,-0.037077
0.426544,0.0112423,0.664546,0.77352,0.629155,-0.0580521,-0.0495954
0.417131,-0.00424304,0.664265,0.786219,0.610902,-0.0696433,-0.0617083
0.407303,-0.0205492,0.664711,0.798936,0.591618,-0.0794191,-0.0733644
0.398702,-0.0366728,0.665497,0.810446,0.57354,-0.0856315,-0.0830409
0.391886,-0.051942,0.666527,0.820625,0.557491,-0.0878762,-0.0897526
0.385899,-0.0687939,0.668066,0.832146,0.539722,-0.0863285,-0.0937044
0.380201,-0.0860879,0.670126,0.844049,0.521349,-0.0820061,-0.095138
0.374073,-0.102309,0.672429,0.855047,0.503801,-0.077043,-0.0956197
0.366566,-0.118899,0.675171,0.866215,0.485176,-0.0715156,-0.095711
0.357431,-0.135841,0.678495,0.877563,0.465363,-0.0651744,-0.095245
0.348485,-0.15011,0.681727,0.887078,0.447968,-0.0592256,-0.0943863
0.339876,-0.162461,0.684694,0.895121,0.432597,-0.0536619,-0.0934853
0.332429,-0.172691,0.687089,0.90165,0.419604,-0.0488256,-0.0926023
0.326975,-0.181141,0.688726,0.906813,0.409105,-0.0444452,-0.0913678
0.324034,-0.187358,0.689374,0.910256,0.401989,-0.0411561,-0.0902491
0.323354,-0.192106,0.68895,0.912458,0.397408,-0.0388211,-0.089336
0.325066,-0.195152,0.687363,0.913383,0.395503,-0.0377937,-0.0887681
0.329128,-0.196777,0.684445,0.913143,0.39598,-0.0381945,-0.0889427
0.335418,-0.197877,0.680138,0.912201,0.398014,-0.0390959,-0.089134
0.340406,-0.198559,0.676614,0.911382,0.399773,-0.0398453,-0.0893113
0.350058,-0.199718,0.669774,0.909789,0.403298,-0.0409054,-0.0892271
0.362065,-0.201106,0.661555,0.907897,0.407643,-0.041604,-0.0884279
0.3754,-0.202527,0.652747,0.905901,0.412491,-0.0413899,-0.0864892
0.393229,-0.203836,0.641275,0.9032,0.419288,-0.0398832,-0.0826821
0.411415,-0.203772,0.629631,0.89997,0.427098,-0.0376442,-0.0788988
0.42982,-0.202422,0.618099,0.896231,0.435799,-0.0352823,-0.074857
0.450046,-0.199051,0.60611,0.891428,0.446553,-0.0318666,-0.0702232
0.468794,-0.193768,0.595459,0.886234,0.457662,-0.027999,-0.0659602
0.48743,-0.186002,0.584819,0.880596,0.469145,-0.0239091,-0.0622998
0.50387,-0.176615,0.575282,0.875866,0.478404,-0.0203338,-0.0597906
0.519136,-0.165049,0.566298,0.87235,0.485096,-0.017222,-0.05822
0.532031,-0.15206,0.558515,0.869804,0.489756,-0.0150634,-0.0579024
0.542671,-0.138223,0.551979,0.867949,0.493012,-0.013721,-0.058446
0.55312,-0.120129,0.544922,0.86538,0.497251,-0.0135803,-0.0606169
0.561776,-0.10008,0.538594,0.86276,0.501377,-0.0144924,-0.0636902
0.569617,-0.076233,0.532588,0.861158,0.503623,-0.0161077,-0.067159
0.575605,-0.0521908,0.52835,0.861591,0.502511,-0.0173455,-0.0695953
0.580298,-0.0261873,0.525289,0.863621,0.498742,-0.0182477,-0.0712823
0.583793,-0.000279643,0.523892,0.866883,0.493047,-0.0174946,-0.0715067
0.585841,0.0272347,0.523874,0.87146,0.485045,-0.0158312,-0.0709788
0.586203,0.0434927,0.524597,0.87481,0.479108,-0.0144841,-0.0703761
0.585008,0.0729322,0.526818,0.881799,0.466319,-0.0124576,-0.0694353
