x, y, z, rx, ry, rz, w
0.826818,0.292841,0.513383,0.825782,-0.132638,0.22757,0.498702
0.826818,0.292841,0.513383,0.825782,-0.132638,0.22757,0.498702
0.812931,0.294688,0.546568,0.810272,-0.141824,0.240067,0.515474
0.806744,0.275963,0.530916,0.809567,-0.156451,0.253042,0.506058
0.808759,0.267194,0.531208,0.809237,-0.178033,0.259707,0.495975
0.807569,0.265312,0.536597,0.80844,-0.181179,0.262668,0.494576
0.805173,0.265642,0.537106,0.810451,-0.186071,0.267237,0.486961
0.806977,0.266826,0.533515,0.810791,-0.190108,0.26627,0.485363
0.80845,0.267426,0.531304,0.810333,-0.190274,0.265742,0.48635
0.810042,0.27213,0.527241,0.808571,-0.191952,0.267747,0.487523
0.811304,0.279292,0.524028,0.809983,-0.190807,0.26578,0.486705
0.811416,0.28473,0.520807,0.810454,-0.184456,0.259602,0.491678
0.811328,0.287456,0.519719,0.811766,-0.181592,0.259358,0.490708
0.811953,0.291137,0.519347,0.814411,-0.170309,0.250451,0.494979
0.811549,0.292192,0.519591,0.809328,-0.168477,0.248327,0.504914
0.81103,0.295266,0.520085,0.808077,-0.16561,0.247477,0.508272
0.808903,0.29643,0.520697,0.807338,-0.166355,0.247349,0.509264
0.807471,0.297075,0.522096,0.806107,-0.169124,0.244773,0.511542
0.804916,0.298519,0.523082,0.806281,-0.171767,0.241637,0.511878
0.804093,0.298405,0.523414,0.808451,-0.174233,0.242134,0.507367
0.803506,0.298859,0.523388,0.809017,-0.174884,0.241274,0.506651
0.802468,0.299741,0.524288,0.818537,-0.169588,0.237661,0.494727
0.799811,0.299002,0.523707,0.818571,-0.175554,0.247223,0.487856
0.798772,0.299335,0.523334,0.817941,-0.178208,0.246929,0.488099
0.798738,0.299148,0.524051,0.819161,-0.177855,0.241521,0.488887
0.798513,0.299422,0.524539,0.818647,-0.177295,0.240695,0.490357
0.798238,0.299654,0.524834,0.821248,-0.175703,0.240093,0.486863
0.797876,0.300217,0.524831,0.824219,-0.173547,0.238236,0.483517
0.797579,0.300429,0.524819,0.823394,-0.174229,0.237567,0.485004
0.796396,0.300722,0.524632,0.818942,-0.176806,0.237332,0.491679
0.793273,0.300142,0.526176,0.817196,-0.180097,0.239743,0.492218
0.780287,0.295929,0.537254,0.811619,-0.191618,0.246758,0.493627
0.771461,0.292103,0.547087,0.80861,-0.206971,0.249844,0.490806
