x, y, z, ry, ry, rz, w
0.45075,-0.000142813,0.449947,0.999999,-0.000414417,-0.000459484,0.000868964
0.45075,-0.000142813,0.449947,0.999999,-0.000414417,-0.000459484,0.000868964
0.450751,-0.000144126,0.449947,0.999999,-0.000417164,-0.000458782,0.000867624
0.450751,-0.000139993,0.449947,0.999999,-0.000414046,-0.000458902,0.000866593
0.450751,-0.000145726,0.449948,0.999999,-0.000419996,-0.000457453,0.000862972
0.45075,-0.00014199,0.449947,0.999999,-0.000413974,-0.000460414,0.000868231
0.450752,-0.000143884,0.449947,0.999999,-0.000417044,-0.000460228,0.000865508
0.450752,-0.000145609,0.449949,0.999999,-0.000415597,-0.000457537,0.000867826
0.450751,-0.000141932,0.449948,0.999999,-0.000414937,-0.000458699,0.000868053
0.450752,-0.000144379,0.449948,0.999999,-0.000416733,-0.000458328,0.000865002
0.45075,-0.000144265,0.449947,0.999999,-0.000416098,-0.00046135,0.000868524
0.450751,-0.000141759,0.449947,0.999999,-0.000413512,-0.000461117,0.000867657
0.450751,-0.000143646,0.449948,0.999999,-0.000416165,-0.00045863,0.000867696
0.450751,-0.000141747,0.449946,0.999999,-0.000413166,-0.000461036,0.000867819
0.450751,-0.000143967,0.449945,0.999999,-0.000414402,-0.000460727,0.000866532
0.450751,-0.00014453,0.449949,0.999999,-0.000418935,-0.000458182,0.000868411
0.45075,-0.00014222,0.449946,0.999999,-0.000413594,-0.000461211,0.000866172
0.450751,-0.000142983,0.449945,0.999999,-0.000415852,-0.000462038,0.000865744
0.45075,-0.000142027,0.449946,0.999999,-0.000411184,-0.00046184,0.000866707
0.450752,-0.000143531,0.44995,0.999999,-0.000415174,-0.000456905,0.000867532
0.45075,-0.000142003,0.449944,0.999999,-0.000413607,-0.000464318,0.000866326
0.45075,-0.000142399,0.449946,0.999999,-0.000416462,-0.000461606,0.000867043
0.45075,-0.000145693,0.449948,0.999999,-0.000418561,-0.000460352,0.000867876
0.450752,-0.000141691,0.449946,0.999999,-0.000412237,-0.000459475,0.000867105
0.45075,-0.000142552,0.449944,0.999999,-0.000414305,-0.000462989,0.000866106
0.450751,-0.000143907,0.449948,0.999999,-0.000411813,-0.000461643,0.000869421
0.450751,-0.000143654,0.449946,0.999999,-0.000417203,-0.000460766,0.000865913
0.450751,-0.000143124,0.449945,0.999999,-0.000415347,-0.00046197,0.000866024
0.450751,-0.000143155,0.449946,0.999999,-0.000414134,-0.000460228,0.000865814
0.450751,-0.000142813,0.449947,0.999999,-0.000413603,-0.000459959,0.00086662
0.45075,-0.000143832,0.449945,0.999999,-0.000414812,-0.000462465,0.000867946
0.450751,-0.000143813,0.449947,0.999999,-0.00041503,-0.000460045,0.000867944
0.450751,-0.000142869,0.449944,0.999999,-0.00041463,-0.000463767,0.000866119
0.450751,-0.000143656,0.449948,0.999999,-0.00041478,-0.000458376,0.000867751
0.45075,-0.000144574,0.449945,0.999999,-0.000415763,-0.000463046,0.000869822
0.450751,-0.000144318,0.449948,0.999999,-0.000416373,-0.000458551,0.000867965
0.450752,-0.000143662,0.449948,0.999999,-0.000415992,-0.000458322,0.000866487
0.450751,-0.000143087,0.449947,0.999999,-0.000416378,-0.000460637,0.000866615
0.450751,-0.000140972,0.449947,0.999999,-0.000412536,-0.000459794,0.000867129
0.450751,-0.000143709,0.449948,0.999999,-0.000415765,-0.00045795,0.000866943
0.45075,-0.000145408,0.449945,0.999999,-0.000416997,-0.000462914,0.000866258
0.45075,-0.000144389,0.449945,0.999999,-0.000417366,-0.000463292,0.000868026
0.45075,-0.000143947,0.449945,0.999999,-0.000417144,-0.000463087,0.000864775
0.450751,-0.000143471,0.449946,0.999999,-0.000414365,-0.000461438,0.000869151
0.450752,-0.000142722,0.449946,0.999999,-0.000413463,-0.0004619,0.000867351
0.450751,-0.000142821,0.449948,0.999999,-0.000413939,-0.000458776,0.000869238
0.450752,-0.000143574,0.449947,0.999999,-0.000415982,-0.000459088,0.00086618
0.450751,-0.000142766,0.449947,0.999999,-0.000414685,-0.000458835,0.000867061
0.45075,-0.000142258,0.449944,0.999999,-0.000414952,-0.000463085,0.000866597
0.450751,-0.000142831,0.449947,0.999999,-0.000414454,-0.000460255,0.000867657
0.45075,-0.000142095,0.449948,0.999999,-0.000415544,-0.000459447,0.000867832
0.450751,-0.000144414,0.44995,0.999999,-0.000416341,-0.000455917,0.000868085
0.45075,-0.000143827,0.449946,0.999999,-0.000413627,-0.000462577,0.000868573
0.45075,-0.000144642,0.449947,0.999999,-0.000415725,-0.000459501,0.000866632
0.450751,-0.000141264,0.449945,0.999999,-0.000412622,-0.000462531,0.000865389
0.450751,-0.000141915,0.449946,0.999999,-0.000414614,-0.000460815,0.000865502
0.450751,-0.000144173,0.449947,0.999999,-0.000415953,-0.000460611,0.000867702
0.450751,-0.000141042,0.449947,0.999999,-0.000413944,-0.000459747,0.000866372
0.450751,-0.000141436,0.449949,0.999999,-0.000412665,-0.000458168,0.000870414
0.450752,-0.000143473,0.449946,0.999999,-0.000415029,-0.000460527,0.000866885
0.450751,-0.000143876,0.449947,0.999999,-0.000415821,-0.000460577,0.000866598
0.45075,-0.000143443,0.449944,0.999999,-0.000415173,-0.000463907,0.000866249
0.450751,-0.000144303,0.449947,0.999999,-0.000417381,-0.000462076,0.000865311
0.450751,-0.00014227,0.449947,0.999999,-0.000413448,-0.000459296,0.000865243
0.450751,-0.000143627,0.449945,0.999999,-0.000414328,-0.000461229,0.00086744
0.450751,-0.000144184,0.449946,0.999999,-0.000417145,-0.000461089,0.000866646
0.450751,-0.00014123,0.449947,0.999999,-0.000413,-0.000459327,0.000866636
0.450751,-0.000143485,0.449948,0.999999,-0.000415974,-0.000459038,0.000867221
0.45075,-0.000142744,0.449946,0.999999,-0.000416083,-0.000461725,0.000867978
0.450751,-0.000142946,0.449945,0.999999,-0.000415122,-0.000460646,0.000868518
0.45075,-0.000143152,0.449946,0.999999,-0.000415742,-0.000461279,0.00086694
0.45075,-0.000146195,0.449944,0.999999,-0.000418489,-0.000463282,0.000866065
0.450751,-0.000143761,0.449946,0.999999,-0.000417148,-0.000460503,0.00086749
0.450751,-0.000143579,0.449946,0.999999,-0.000413478,-0.000461307,0.00086732
0.45075,-0.000143922,0.449947,0.999999,-0.000415859,-0.000460959,0.000866353
0.450751,-0.000140631,0.449946,0.999999,-0.000412309,-0.000461338,0.000866272
0.450752,-0.000142835,0.449949,0.999999,-0.000416025,-0.000457668,0.000867841
0.450752,-0.000143191,0.449947,0.999999,-0.000416833,-0.000459627,0.000865312
0.45075,-0.00014303,0.449945,0.999999,-0.000413933,-0.000461874,0.000868301
0.450752,-0.000144022,0.449948,0.999999,-0.000415347,-0.000457798,0.000867804
0.450751,-0.000145626,0.449947,0.999999,-0.000417726,-0.000460313,0.000866142
0.45075,-0.000142248,0.449945,0.999999,-0.000413955,-0.000463027,0.000867704
0.450752,-0.000142996,0.449946,0.999999,-0.000414257,-0.00045968,0.000865662
0.450751,-0.00014092,0.449947,0.999999,-0.00041456,-0.000459473,0.000868253
0.450751,-0.000142518,0.449945,0.999999,-0.00041524,-0.000460619,0.000865475
0.450751,-0.000144556,0.449949,0.999999,-0.000415185,-0.000458448,0.000867803
0.450751,-0.000143972,0.449949,0.999999,-0.000414917,-0.00045791,0.000868131
0.45075,-0.000143281,0.449946,0.999999,-0.00041464,-0.000461706,0.00086826
0.45075,-0.000144938,0.449944,0.999999,-0.000416586,-0.000462338,0.000866907
0.45075,-0.000143031,0.449947,0.999999,-0.000414457,-0.000460144,0.000868344
0.450751,-0.0001427,0.449944,0.999999,-0.000412901,-0.000462986,0.000867777
0.450751,-0.000144823,0.449947,0.999999,-0.000417319,-0.00045935,0.000865764
0.45075,-0.000141971,0.449947,0.999999,-0.00041391,-0.000460493,0.000868578
0.450748,-0.000146378,0.449944,0.999999,-0.000417517,-0.000464353,0.000867883
0.450752,-0.000141993,0.449944,0.999999,-0.000412116,-0.000463387,0.000865807
0.450752,-0.000141869,0.449945,0.999999,-0.000413769,-0.000462633,0.000865662
0.450751,-0.000142579,0.449944,0.999999,-0.000414373,-0.000462759,0.000866892
0.450752,-0.000142063,0.44995,0.999999,-0.000414844,-0.00045641,0.000868396
0.45075,-0.000143497,0.449947,0.999999,-0.000415397,-0.000461082,0.000868053
0.45075,-0.000141779,0.449946,0.999999,-0.000410997,-0.000461231,0.000869039
0.45075,-0.000143473,0.449947,0.999999,-0.000416553,-0.000461113,0.000867
0.450752,-0.000145983,0.449947,0.999999,-0.000418601,-0.000459123,0.000866611
0.450751,-0.000142293,0.449946,0.999999,-0.000416004,-0.000459754,0.000866916
0.45075,-0.000142824,0.449945,0.999999,-0.000414661,-0.000461769,0.000866789
0.450751,-0.000140851,0.449946,0.999999,-0.000411789,-0.000460853,0.000867344
0.450751,-0.000144148,0.449948,0.999999,-0.000414192,-0.000458964,0.000867953
0.450752,-0.000142507,0.449948,0.999999,-0.000412377,-0.000459211,0.000869107
0.450752,-0.000144185,0.449949,0.999999,-0.000416329,-0.000457105,0.000867749
0.450751,-0.000141621,0.449948,0.999999,-0.000414747,-0.000458528,0.000866818
0.450751,-0.000142147,0.449946,0.999999,-0.000412261,-0.000461285,0.000868672
0.45075,-0.000141964,0.449944,0.999999,-0.000411135,-0.000462003,0.000868156
0.450751,-0.000144441,0.449949,0.999999,-0.000415893,-0.000459101,0.000867566
0.450751,-0.000144862,0.449946,0.999999,-0.000414989,-0.000460853,0.000868145
0.450751,-0.000144038,0.449948,0.999999,-0.000417722,-0.000458861,0.000866294
0.450751,-0.000141555,0.449947,0.999999,-0.000415446,-0.000460467,0.000867141
0.450751,-0.000142917,0.449946,0.999999,-0.000414894,-0.000460883,0.000866602
0.45075,-0.000142946,0.449945,0.999999,-0.000415066,-0.000462062,0.000868382
0.450751,-0.000144769,0.449947,0.999999,-0.000417911,-0.000460818,0.000866402
0.450751,-0.000145218,0.44995,0.999999,-0.000417261,-0.000456732,0.000868012
0.45075,-0.000141043,0.449947,0.999999,-0.000413689,-0.00046041,0.000867018
0.450751,-0.000143968,0.449947,0.999999,-0.000416427,-0.000459425,0.000866898
0.450751,-0.000141992,0.449945,0.999999,-0.000415076,-0.000461267,0.000867956
0.45075,-0.000147261,0.449945,0.999999,-0.000419037,-0.000462397,0.000865263
0.450752,-0.000143314,0.44995,0.999999,-0.000412341,-0.000455403,0.00086874
0.450752,-0.000141227,0.449947,0.999999,-0.000411775,-0.000458979,0.000866423
0.450751,-0.000139724,0.44995,0.999999,-0.000412094,-0.000456269,0.00086916
0.450751,-0.000141759,0.449944,0.999999,-0.000412037,-0.000463145,0.00086613
0.45075,-0.00014445,0.449949,0.999999,-0.000414654,-0.000458412,0.000870223
0.450751,-0.000142502,0.449946,0.999999,-0.000415151,-0.000460673,0.000867107
0.450751,-0.000144469,0.449949,0.999999,-0.000415583,-0.00045845,0.000867769
0.45075,-0.00014469,0.449946,0.999999,-0.000413059,-0.000461812,0.000869637
0.450751,-0.000143784,0.449948,0.999999,-0.0004163,-0.000460139,0.000866649
0.45075,-0.00014706,0.449948,0.999999,-0.000418869,-0.00045945,0.000867562
0.450751,-0.000141941,0.449945,0.999999,-0.000412279,-0.000462221,0.000865844
0.45075,-0.000144534,0.449948,0.999999,-0.000417783,-0.000459707,0.000867606
0.450751,-0.000145286,0.449945,0.999999,-0.000418477,-0.000461829,0.000866238
0.45075,-0.000142809,0.449948,0.999999,-0.000414542,-0.000460215,0.000867402
0.450751,-0.000144108,0.449947,0.999999,-0.00041506,-0.000459866,0.00086779
