x, y, z, ry, ry, rz, w
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0.475938,0.153228,0.299294,-0.665134,0.0820726,-0.0839685,-0.737435
0.707929,0.225768,0.443628,-0.65797,0.0835032,-0.0890142,-0.743088
0.699256,0.217684,0.440485,-0.635407,0.0749253,-0.0873128,-0.763558
0.698635,0.215473,0.440037,-0.638578,0.0681608,-0.0834803,-0.761973
0.696925,0.208352,0.441349,-0.660667,0.0744406,-0.120253,-0.737236
0.697401,0.20748,0.442885,-0.661905,0.0711411,-0.120219,-0.736456
0.697401,0.20748,0.442885,-0.661905,0.0711411,-0.120219,-0.736456
0.704455,0.212753,0.445707,-0.677294,0.0577151,-0.16765,-0.714028
0.704455,0.212753,0.445707,-0.677294,0.0577151,-0.16765,-0.714028
0.824029,0.254494,0.482893,-0.671911,0.0316433,-0.215991,-0.707731
0.896551,0.298564,0.502187,0.68901,0.0712049,0.306967,0.65266
0.90527,0.310075,0.504984,0.68901,0.0712049,0.306967,0.65266
0.921392,0.344388,0.505125,0.694345,0.142502,0.369197,0.601059
0.921392,0.344388,0.505125,0.694345,0.142502,0.369197,0.601059
0.989251,0.4523,0.486747,0.692211,0.354395,0.482908,0.402552
1.0047,0.470354,0.483424,0.682498,0.419117,0.473557,0.366444
1.03339,0.499884,0.477874,0.670607,0.456949,0.408439,0.417925
1.04915,0.514779,0.476344,0.670064,0.466303,0.395307,0.421079
1.05497,0.499431,0.479047,0.683262,0.4512,0.381932,0.428601
1.05141,0.485048,0.478999,0.690165,0.437572,0.379819,0.433522
1.04306,0.448831,0.47586,0.716796,0.369787,0.376549,0.455711
1.03727,0.421617,0.469045,0.726934,0.30786,0.38127,0.481064
1.02379,0.376077,0.457577,0.716838,0.242884,0.371685,0.537587
1.01249,0.340984,0.447454,0.691706,0.19809,0.362212,0.592541
1.00424,0.312826,0.439199,0.660459,0.160592,0.337893,0.651024
0.999074,0.301121,0.438421,0.650452,0.149823,0.32653,0.669211
0.982869,0.273203,0.438866,-0.634864,-0.106376,-0.290772,-0.707873
0.978708,0.276999,0.440638,-0.65825,-0.0659504,-0.274509,-0.697856
0.969405,0.276805,0.445837,0.676718,0.0296486,0.260368,0.688028
0.967382,0.276577,0.446423,0.677413,0.0255789,0.259275,0.68792
0.964704,0.272154,0.4498,-0.677103,-0.0153861,-0.246441,-0.693225
0.962903,0.27121,0.449631,-0.66888,-0.00188446,-0.229183,-0.707157
0.959877,0.270306,0.448813,-0.679318,-0.00169958,-0.232537,-0.696025
0.955071,0.270497,0.449906,-0.682487,-0.00163934,-0.219292,-0.697223
0.947113,0.26896,0.462863,-0.669873,0.0136903,-0.20602,-0.713189
0.93916,0.270378,0.471662,-0.669523,0.0194195,-0.187757,-0.718407
0.935667,0.273642,0.471544,-0.675455,0.0362233,-0.166724,-0.717392
0.92009,0.27305,0.478328,-0.681748,0.0430201,-0.16067,-0.712429
0.902945,0.274133,0.486424,-0.694102,0.0422788,-0.15678,-0.701324
0.883425,0.274956,0.500231,0.701498,-0.0403937,0.160941,0.693085
0.871987,0.273543,0.510097,-0.695945,0.0593533,-0.162252,-0.697002
0.858765,0.270382,0.523134,0.696361,-0.0846497,0.181176,0.689269
0.851358,0.265746,0.53346,-0.694352,0.0956624,-0.182187,-0.689588
0.846735,0.257427,0.543197,-0.691395,0.114922,-0.184622,-0.688971
0.841914,0.249355,0.550009,-0.681821,0.154157,-0.171177,-0.694301
0.839983,0.244692,0.551222,-0.673156,0.183262,-0.17888,-0.693742
0.837062,0.239146,0.554001,-0.67249,0.193972,-0.180264,-0.691112
0.836426,0.233172,0.557313,-0.678076,0.194036,-0.18327,-0.684818
0.833904,0.230922,0.560317,-0.6796,0.199803,-0.182292,-0.681904
0.831808,0.228431,0.561256,-0.685361,0.198381,-0.182421,-0.676497
0.829039,0.227078,0.560737,-0.688919,0.192913,-0.177452,-0.675785
0.826444,0.226536,0.560576,-0.678935,0.187369,-0.170437,-0.689124
0.824167,0.226024,0.562115,-0.671663,0.190982,-0.160375,-0.697621
0.822203,0.22468,0.563484,-0.646842,0.221194,-0.144246,-0.715445
0.821433,0.222421,0.56497,-0.64417,0.230238,-0.139913,-0.715863
0.821294,0.220907,0.565679,-0.645864,0.230992,-0.144444,-0.713189
0.826212,0.221125,0.564382,-0.644518,0.226392,-0.160409,-0.712469
0.829412,0.22194,0.563331,-0.64159,0.222998,-0.161147,-0.716007
0.841933,0.223978,0.556096,-0.634368,0.214683,-0.161759,-0.724791
0.854757,0.225414,0.547706,-0.627327,0.188543,-0.170585,-0.73608
0.868065,0.227851,0.537449,-0.63018,0.168977,-0.172196,-0.738016
0.882785,0.231068,0.522976,-0.63322,0.154805,-0.170353,-0.73895
0.887985,0.224874,0.502709,-0.635423,0.138183,-0.160886,-0.742467
0.897099,0.233811,0.477801,-0.620433,0.145446,-0.145516,-0.756792
0.912698,0.232362,0.476442,-0.616492,0.14451,-0.143514,-0.760564
0.932277,0.242581,0.471656,-0.644269,0.10921,-0.148273,-0.742298
0.941822,0.24911,0.475046,-0.62303,0.110978,-0.143918,-0.760792
0.953446,0.264749,0.474349,-0.615798,0.11054,-0.148247,-0.765896
0.958525,0.285669,0.480983,-0.595828,0.102254,-0.122312,-0.787129
0.959114,0.2913,0.482266,-0.590845,0.10509,-0.11834,-0.791109
0.96566,0.327579,0.48315,-0.597196,0.103665,-0.121215,-0.786077
0.967002,0.353596,0.482019,-0.600407,0.111142,-0.124034,-0.78216
0.974413,0.385375,0.474704,-0.613151,0.11171,-0.13506,-0.770276
0.978945,0.414123,0.473354,-0.636208,0.106243,-0.156324,-0.748007
0.994617,0.450921,0.480573,-0.632362,0.102029,-0.150437,-0.753045
1.00226,0.461821,0.476891,-0.616996,0.120648,-0.130123,-0.766699
1.02082,0.495721,0.469437,0.706457,-0.0618893,0.153462,0.68814
1.02928,0.507903,0.465856,-0.692288,0.0649593,-0.145428,-0.703824
1.04341,0.526798,0.457456,-0.664135,0.0799923,-0.12764,-0.73228
