x, y, z, ry, ry, rz, w
0.425204,-0.107034,0.447614,0.999934,0.00708631,0.00549508,0.00723077
0.425204,-0.107034,0.447614,0.999934,0.00708631,0.00549508,0.00723077
0.425202,-0.107023,0.447616,0.999937,0.00673779,0.00552057,0.00711461
0.425201,-0.107007,0.447612,0.99994,0.00632974,0.00552921,0.0070035
0.425192,-0.106999,0.447606,0.999943,0.00589172,0.00552364,0.00693202
0.425175,-0.106992,0.447595,0.999947,0.00544579,0.00549328,0.0068595
0.425158,-0.106967,0.447588,0.99995,0.00499619,0.00546782,0.00675678
0.425141,-0.106945,0.447579,0.999952,0.00460928,0.0054341,0.00666993
0.425114,-0.106928,0.447567,0.999955,0.00428509,0.00538483,0.00658061
0.425094,-0.106904,0.447554,0.999957,0.00397159,0.00534471,0.00647696
0.425065,-0.106875,0.447541,0.999959,0.00368326,0.00528551,0.00636638
0.42504,-0.106843,0.447527,0.999961,0.00344083,0.00524509,0.00622142
0.425005,-0.106846,0.447506,0.999963,0.00314373,0.00518419,0.00609751
0.424985,-0.106839,0.447497,0.999964,0.00297198,0.00515484,0.00599768
0.424955,-0.10681,0.447478,0.999966,0.00266733,0.00510093,0.00583791
0.424925,-0.106777,0.447466,0.999968,0.00234084,0.00504076,0.00572783
0.424892,-0.106718,0.447446,0.99997,0.00200938,0.0049652,0.00557191
0.424863,-0.106665,0.447432,0.999972,0.00171323,0.00490024,0.00542483
0.424835,-0.106611,0.447414,0.999973,0.0014152,0.00484033,0.00527154
0.424796,-0.10655,0.447392,0.999975,0.00119781,0.00475322,0.00510166
0.424767,-0.106479,0.447373,0.999976,0.000991887,0.00468997,0.00490672
0.424738,-0.106398,0.447357,0.999978,0.000824277,0.00462505,0.00469758
0.42472,-0.106359,0.447347,0.999979,0.000715792,0.00458774,0.00459265
0.42469,-0.106258,0.447326,0.99998,0.00057696,0.00451857,0.0043236
0.424641,-0.106153,0.447296,0.999982,0.00048171,0.0044091,0.0040382
0.4246,-0.106069,0.447274,0.999983,0.000421207,0.00431435,0.00381817
0.424556,-0.105976,0.447251,0.999985,0.000355515,0.00422268,0.00356078
0.424507,-0.105887,0.447224,0.999986,0.000305773,0.00410915,0.00332992
0.424455,-0.105811,0.447199,0.999987,0.000260566,0.00398881,0.00312381
0.424401,-0.105739,0.447174,0.999988,0.000218946,0.00386707,0.00293564
0.424356,-0.105677,0.44715,0.999989,0.000192023,0.00375511,0.00278057
0.424303,-0.105585,0.447131,0.99999,0.000133245,0.00364462,0.00252729
0.424252,-0.105516,0.447104,0.999991,8.9083e-05,0.00352468,0.00233477
0.424195,-0.105438,0.447079,0.999992,5.5317e-05,0.00339191,0.00213742
0.424146,-0.105376,0.447061,0.999993,2.78303e-05,0.00328016,0.00198295
0.424099,-0.105328,0.447119,0.999993,-1.40412e-05,0.00315753,0.00182946
0.424065,-0.10529,0.447211,0.999994,-4.04192e-05,0.00310659,0.00172502
0.423999,-0.105235,0.447435,0.999994,-9.43807e-05,0.00296582,0.00153323
0.423973,-0.105207,0.447525,0.999995,-0.000128917,0.00289015,0.00142439
0.423919,-0.105168,0.447667,0.999995,-0.000163713,0.00278361,0.00129896
0.423871,-0.105134,0.447795,0.999996,-0.00020513,0.00268865,0.00117359
0.423834,-0.105082,0.447877,0.999996,-0.0002427,0.00260365,0.00101608
0.423796,-0.10504,0.447936,0.999996,-0.000274514,0.00250962,0.000890568
0.423754,-0.104966,0.447986,0.999997,-0.000316266,0.00241923,0.000690271
0.42372,-0.10492,0.448025,0.999997,-0.000346291,0.00233984,0.000560244
0.423691,-0.10488,0.448097,0.999997,-0.00038134,0.00228441,0.000434929
0.423673,-0.104851,0.448174,0.999997,-0.000409127,0.00224231,0.000337441
0.423643,-0.104816,0.44827,0.999998,-0.000437228,0.00217304,0.000224046
0.423618,-0.104781,0.44839,0.999998,-0.000463715,0.0021316,0.000120116
0.423596,-0.104759,0.448488,0.999998,-0.000491954,0.00208061,3.6441e-05
0.423575,-0.104733,0.448563,0.999998,-0.000510098,0.00203769,-4.24859e-05
0.423566,-0.104725,0.448588,0.999998,-0.000524114,0.00201929,-7.81351e-05
0.423535,-0.104703,0.448631,0.999998,-0.000538497,0.00194822,-0.000141814
0.423514,-0.104689,0.448673,0.999998,-0.000555516,0.0019023,-0.00019355
0.423493,-0.104676,0.448718,0.999998,-0.000556865,0.0018489,-0.000225881
0.423471,-0.104676,0.448757,0.999998,-0.000570416,0.00180995,-0.000247092
0.423462,-0.104671,0.4488,0.999998,-0.000573095,0.00178456,-0.000261839
0.423451,-0.104672,0.448847,0.999998,-0.000578772,0.00176065,-0.000270193
0.423442,-0.104676,0.4489,0.999998,-0.000586745,0.00174292,-0.000278591
0.42343,-0.104675,0.448948,0.999998,-0.000590271,0.00171985,-0.00028598
0.423418,-0.104678,0.448996,0.999998,-0.000595241,0.00169369,-0.000289404
0.423399,-0.104676,0.449001,0.999998,-0.000598412,0.00164818,-0.000302014
0.423384,-0.104673,0.449005,0.999998,-0.000598376,0.00161132,-0.000308635
0.423366,-0.104669,0.449012,0.999999,-0.000600654,0.00157173,-0.000318021
0.423364,-0.104673,0.44908,0.999999,-0.000603602,0.00155324,-0.00031932
0.42335,-0.104676,0.449141,0.999999,-0.000610007,0.00153826,-0.000324446
0.423336,-0.104676,0.449153,0.999999,-0.000613025,0.00149965,-0.000331072
0.423325,-0.104672,0.449157,0.999999,-0.000610193,0.00148114,-0.000334249
0.423319,-0.10467,0.449157,0.999999,-0.000610438,0.00146231,-0.00033813
0.423304,-0.104669,0.449153,0.999999,-0.000613181,0.00142873,-0.000345387
0.423282,-0.10467,0.449149,0.999999,-0.000618309,0.00138155,-0.000353885
0.423119,-0.105126,0.449109,0.999998,-0.00113702,0.0012533,-0.0004444
0.422886,-0.106027,0.44907,0.999997,-0.00213825,0.00122497,-0.000679833
0.422608,-0.107201,0.448995,0.999993,-0.00333124,0.00120645,-0.000970918
0.422328,-0.108402,0.448927,0.999988,-0.00455921,0.00123179,-0.00137567
0.422081,-0.109712,0.448933,0.999981,-0.00581563,0.00132526,-0.00171105
0.421889,-0.110748,0.449002,0.999974,-0.00674506,0.0014579,-0.00193349
0.421608,-0.112491,0.449184,0.999962,-0.00818261,0.00177552,-0.0024189
0.421485,-0.113904,0.449484,0.999949,-0.00946995,0.00220554,-0.00289205
0.421463,-0.114954,0.449841,0.999936,-0.0104872,0.00265334,-0.00321524
0.421522,-0.11564,0.450197,0.999927,-0.0111676,0.00305774,-0.00339057
0.421612,-0.11605,0.450518,0.999921,-0.0115564,0.00340116,-0.00345736
0.421706,-0.11629,0.450812,0.999918,-0.0117801,0.00370919,-0.00347122
0.421788,-0.116403,0.451046,0.999916,-0.011875,0.00394506,-0.00345201
0.421817,-0.116579,0.451198,0.999914,-0.0119982,0.0040955,-0.00339057
0.421647,-0.117386,0.451222,0.999909,-0.0124373,0.00409972,-0.00320147
0.42137,-0.118556,0.451115,0.999904,-0.0128416,0.00402376,-0.0032713
0.421106,-0.119759,0.450924,0.9999,-0.013117,0.00389385,-0.00347639
0.420882,-0.120887,0.45066,0.999897,-0.0133491,0.00370824,-0.00375079
0.42081,-0.121391,0.450502,0.999895,-0.0134886,0.00361048,-0.00386809
